SPECIES,SEX,Lgt,Wgt,Mature,Year,Month
Alewife,F,105,10,0,2004,3
Alewife,F,111,12,0,2005,3
Alewife,F,111,12,0,2008,4
Alewife,F,132,12,0,2008,4
Alewife,F,116,14,0,2003,4
Alewife,F,117,14,0,2008,4
Alewife,F,157,15,0,2008,4
Alewife,F,114,18,0,2008,3
Alewife,F,120,20,0,2008,4
Alewife,F,133,20,0,2007,3
Alewife,F,122,22,0,2004,3
Alewife,F,124,22,0,2008,3
Alewife,F,132,22,1,2008,4
Alewife,F,124,24,0,2008,4
Alewife,F,128,24,0,2004,3
Alewife,F,136,24,0,2004,3
Alewife,F,129,25,0,2008,4
Alewife,F,132,25,1,2008,4
Alewife,F,134,25,1,2008,4
Alewife,F,123,26,0,2004,3
Alewife,F,131,26,0,2008,4
Alewife,F,131,26,0,2004,3
Alewife,F,129,28,0,2008,4
Alewife,F,138,28,0,2004,3
Alewife,F,129,30,0,2002,4
Alewife,F,131,30,1,2008,4
Alewife,F,133,30,1,2008,4
Alewife,F,133,30,0,2008,4
Alewife,F,134,30,0,2002,4
Alewife,F,137,32,0,2004,3
Alewife,F,142,32,0,2004,3
Alewife,F,146,32,0,2006,3
Alewife,F,140,34,0,2003,3
Alewife,F,144,34,0,2002,4
Alewife,F,147,36,0,2002,4
Alewife,F,154,38,1,2005,3
Alewife,F,169,38,0,2005,3
Alewife,F,138,40,0,2008,4
Alewife,F,138,40,1,2008,4
Alewife,F,147,40,0,2004,3
Alewife,F,145,42,0,2004,3
Alewife,F,167,42,0,2005,3
Alewife,F,169,44,0,2005,3
Alewife,F,176,44,0,2005,3
Alewife,F,154,45,1,2008,4
Alewife,F,168,50,0,2005,3
Alewife,F,177,50,0,2005,3
Alewife,F,160,52,0,2004,3
Alewife,F,169,52,1,2007,3
Alewife,F,177,52,0,2005,3
Alewife,F,181,52,0,2005,3
Alewife,F,182,52,1,2005,3
Alewife,F,184,52,0,2005,3
Alewife,F,184,54,0,2005,3
Alewife,F,154,55,1,2008,4
Alewife,F,163,55,1,2008,4
Alewife,F,181,56,0,2005,3
Alewife,F,184,56,1,2005,3
Alewife,F,187,56,1,2005,3
Alewife,F,187,58,0,2005,3
Alewife,F,174,62,1,2008,4
Alewife,F,188,66,1,2005,3
Alewife,F,192,66,0,2005,3
Alewife,F,186,78,0,2005,3
Alewife,F,201,80,1,2008,4
Alewife,F,207,84,0,2005,3
Alewife,F,219,86,1,2008,4
Alewife,F,208,92,0,2005,3
Alewife,F,226,104,1,2008,4
Alewife,F,229,108,0,2008,4
Alewife,F,214,110,1,2008,4
Alewife,F,220,110,1,2008,4
Alewife,F,235,116,1,2008,4
Alewife,F,235,118,1,2008,4
Alewife,F,207,122,1,2008,4
Alewife,F,210,122,1,2008,4
Alewife,F,218,124,1,2008,4
Alewife,F,224,124,1,2008,4
Alewife,F,216,128,1,2004,3
Alewife,F,234,128,1,2008,4
Alewife,F,215,130,1,2008,4
Alewife,F,224,130,1,2008,4
Alewife,F,226,134,1,2005,3
Alewife,F,230,136,1,2008,4
Alewife,F,214,142,1,2008,4
Alewife,F,229,142,1,2008,4
Alewife,F,222,146,1,2005,3
Alewife,F,236,146,1,2004,3
Alewife,F,215,148,1,2004,3
Alewife,F,222,148,1,2008,3
Alewife,F,223,148,1,2008,3
Alewife,F,242,150,1,2008,4
Alewife,F,226,158,1,2004,3
Alewife,F,228,158,1,2008,4
Alewife,F,246,158,1,2008,4
Alewife,F,225,160,1,2005,3
Alewife,F,228,160,1,2003,4
Alewife,F,234,160,1,2008,4
Alewife,F,236,160,1,2008,4
Alewife,F,239,160,1,2008,4
Alewife,F,225,162,1,2003,3
Alewife,F,227,162,1,2008,4
Alewife,F,242,162,1,2005,3
Alewife,F,241,164,1,2008,4
Alewife,F,253,164,1,2008,4
Alewife,F,225,166,1,2004,3
Alewife,F,235,166,1,2005,3
Alewife,F,235,168,1,2008,4
Alewife,F,239,170,1,2005,3
Alewife,F,239,170,1,2005,3
Alewife,F,218,174,1,2008,4
Alewife,F,228,174,1,2004,3
Alewife,F,244,178,1,2008,4
Alewife,F,224,180,1,2004,3
Alewife,F,235,182,1,2005,3
Alewife,F,233,184,1,2004,3
Alewife,F,236,184,1,2007,3
Alewife,F,241,184,1,2005,3
Alewife,F,247,184,1,2006,3
Alewife,F,228,186,1,2004,3
Alewife,F,250,186,1,2008,4
Alewife,F,233,188,1,2008,3
Alewife,F,235,188,1,2008,3
Alewife,F,229,190,1,2006,3
Alewife,F,237,190,1,2005,3
Alewife,F,233,194,1,2003,3
Alewife,F,233,194,1,2006,3
Alewife,F,242,194,1,2005,3
Alewife,F,247,196,1,2005,3
Alewife,F,240,200,1,2003,3
Alewife,F,240,200,1,2006,3
Alewife,F,240,200,1,2003,3
Alewife,F,244,200,1,2004,3
Alewife,F,254,200,1,2007,3
Alewife,F,236,202,1,2004,3
Alewife,F,240,206,1,2006,3
Alewife,F,240,206,1,2003,3
Alewife,F,241,206,1,2004,3
Alewife,F,247,210,1,2003,4
Alewife,F,271,210,1,2008,4
Alewife,F,238,212,1,2004,3
Alewife,F,240,212,1,2003,3
Alewife,F,261,212,1,2004,3
Alewife,F,252,214,1,2005,3
