Year,Age,Sex,TL_cm
2007,5,F,39.2
2007,1,F,29.3
2007,5,F,42.2
2007,5,F,33.7
2007,1,M,29
2007,4,F,29.3
2007,1,F,25.5
2007,2,F,29.2
2007,1,M,25.9
2007,5,M,35.9
2007,5,F,38.5
2007,5,M,32.9
2007,5,F,36.3
2007,5,F,36.8
2007,5,M,34.2
2007,5,F,35.5
2007,5,F,34.2
2007,1,F,26.7
2007,1,F,26.9
2007,1,M,22.8
2007,1,M,25.8
2007,1,F,26.3
2007,2,M,25.3
2007,1,F,25.3
2007,2,F,27.6
2007,1,M,27.1
2007,1,F,29.1
2007,2,F,26.9
2007,1,M,26.3
2007,1,F,29
2007,5,M,30.9
2007,5,M,29.8
2007,3,M,28.6
2007,5,M,30.9
2007,1,M,25
2007,1,M,25
2007,3,M,29.7
2007,5,M,36.2
2007,5,M,33.7
2007,3,M,30
2007,1,M,24
2007,1,M,24.2
2007,6,M,31.7
2007,2,M,23.9
2007,3,M,28.3
2007,5,F,36.2
2007,5,M,33.7
2007,4,F,32.5
2007,5,M,29
2007,3,F,32
2007,5,F,34.8
2007,4,M,27.5
2007,5,M,23
2007,1,F,25.9
2007,5,F,29.5
2007,3,M,31.3
2007,1,M,24.9
2007,5,F,34.1
2007,5,F,36.9
2007,2,M,27.5
2007,3,M,29.3
2007,3,F,27.1
2007,3,F,30.1
2007,4,F,32.5
2007,5,F,33.7
2007,2,M,24.9
2007,3,M,27.1
2007,3,M,29.2
2007,1,F,26.8
2007,3,F,30.5
2007,5,M,32.8
2007,5,M,29.8
2007,5,F,33.7
2007,3,M,30.4
2007,3,M,31.3
2007,3,M,26.7
2007,2,M,26
2007,3,M,29.8
2007,3,F,32
2007,4,F,28.2
2007,1,M,24.8
2007,1,F,22.4
2007,1,M,26.1
2007,1,F,24.2
2007,1,F,23.8
2007,1,M,23.4
2007,3,M,28.2
2007,2,F,24.2
2007,2,M,24.4
2007,5,F,34.9
2007,5,M,30.4
2007,3,F,28.3
2007,1,M,22.9
2007,1,F,22.2
2007,1,M,24
2007,1,F,24.6
2007,2,M,25.8
2007,1,M,25.5
2007,2,F,25
2007,2,F,23
2007,1,F,24
2007,1,M,21.9
2007,2,F,22.5
2007,3,F,26.2
2007,3,F,29.1
2007,1,F,23.8
2007,3,F,26.6
2007,1,F,24.8
2007,2,M,24
2007,1,M,23
2007,2,F,22.3
2007,1,F,21.6
2007,2,F,21.4
2007,3,F,29.4
2007,2,F,22.5
2007,1,M,21
2007,2,F,23.4
2007,1,F,24.5
2007,1,F,24.9
2007,1,M,19.8
2007,0,F,19.8
2007,1,F,21
2007,1,F,25.3
2007,0,F,19.3
2007,0,F,19.8
2007,3,F,32.7
2007,8,M,34.3
2007,4,F,30.7
2007,3,F,27.6
2007,3,F,30.9
2007,3,M,26.8
2007,3,F,27.4
2007,3,F,24.5
2007,2,M,22.4
2007,1,F,23
2007,1,F,20.1
2007,2,F,23.5
2007,2,F,21
2007,1,F,22.4
2007,1,M,21.4
2007,1,F,25.7
2007,3,F,25.2
2007,3,F,25.3
2007,1,F,23.4
2007,2,F,26.6
2007,3,F,31.7
2007,1,F,25.8
2007,4,F,37.2
2007,1,M,25.7
2007,1,F,22.5
2007,0,M,17.8
2007,1,F,22.2
2007,4,F,30.3
