AGE,LENGTH,WEIGHT
4,305,0.312
3,270,0.208
4,306,0.348
4,272,0.228
4,277,0.266
4,277,0.22
4,278,0.252
4,289,0.29
3,278,0.262
4,276,0.248
7,357,0.602
4,350,0.508
6,364,0.646
7,364,0.6
9,342,0.536
4,343,0.524
3,347,0.52
3,330,0.414
4,306,0.308
6,331,0.412
4,326,0.4
4,278,0.274
4,326,0.428
5,340,0.438
5,341,0.45
3,282,0.27
4,298,0.296
3,276,0.222
4,262,0.216
5,334,0.492
3,240,0.158
3,278,0.25
4,268,0.204
4,272,0.224
4,300,0.304
3,267,0.206
2,266,0.21
3,236,0.16
3,240,0.152
3,303,0.336
4,331,0.424
4,307,0.324
5,287,0.31
5,283,0.276
4,267,0.198
5,286,0.238
6,316,0.364
8,328,0.422
4,268,0.21
2,282,0.26
4,262,0.198
4,276,0.258
8,348,0.5
4,316,0.442
4,365,0.614
3,320,0.456
4,372,0.754
5,368,0.682
4,350,0.592
5,336,0.546
3,372,0.7
4,358,0.634
4,322,0.424
3,312,0.384
3,348,0.558
4,373,0.634
5,341,0.564
4,320,0.414
3,303,0.36
4,328,0.472
4,303,0.386
4,316,0.384
4,333,0.518
3,296,0.324
4,284,0.298
4,312,0.432
4,322,0.402
4,333,0.528
4,296,0.33
10,432,1.092
4,370,0.634
5,329,0.45
3,313,0.412
4,348,0.51
4,367,0.67
5,342,0.532
7,402,0.8
4,329,0.452
5,353,0.564
5,381,0.782
3,316,0.422
3,294,0.336
4,317,0.45
3,315,0.422
3,275,0.252
4,322,0.458
3,279,0.314
4,324,0.456
4,312,0.366
4,287,0.302
3,262,0.244
4,344,0.596
9,392,0.768
4,322,0.428
7,318,0.382
4,289,0.306
3,308,0.364
4,324,0.436
3,253,0.214
5,301,0.356
4,294,0.31
3,306,0.426
3,327,0.494
7,348,0.558
3,298,0.334
5,293,0.338
3,282,0.28
3,266,0.244
3,267,0.226
3,298,0.366
5,308,0.374
3,262,0.242
3,267,0.236
3,266,0.242
9,462,1.19
9,412,0.91
5,303,0.314
4,386,0.732
5,293,0.32
4,334,0.498
4,363,0.578
4,288,0.286
5,340,0.5
3,305,0.332
4,295,0.298
4,303,0.35
4,304,0.354
3,280,0.27
3,317,0.354
4,289,0.308
2,308,0.35
5,276,0.28
4,280,0.29
3,237,0.18
4,262,0.24
4,254,0.202
3,268,0.242
2,246,0.184
3,276,0.256
3,266,0.23
4,280,0.252
3,304,0.372
3,295,0.328
4,332,0.47
5,311,0.39
3,308,0.392
3,294,0.324
4,306,0.372
5,367,0.634
7,388,0.734
5,362,0.65
5,361,0.532
4,356,0.546
4,311,0.4
5,298,0.368
5,287,0.31
4,270,0.246
4,297,0.328
8,360,0.556
3,301,0.356
4,325,0.458
2,266,0.234
4,294,0.336
4,315,0.43
4,262,0.222
4,262,0.248
4,289,0.294
3,272,0.29
3,309,0.346
2,313,0.432
4,289,0.29
2,277,0.282
3,289,0.316
4,249,0.186
3,248,0.184
2,240,0.184
4,240,0.178
3,236,0.172
6,356,0.592
3,222,0.13
1,200,0.102
1,216,0.108
3,263,0.23
1,231,0.15
3,240,0.156
3,248,0.196
10,343,0.592
5,343,0.544
7,360,0.744
5,322,0.444
6,303,0.338
1,206,0.1
2,220,0.124
2,212,0.118
1,220,0.134
2,216,0.124
1,204,0.094
1,204,0.098
1,208,0.108
1,188,0.086
3,253,0.192
5,284,0.278
3,282,0.262
5,289,0.288
4,280,0.256
3,262,0.204
2,256,0.2
3,293,0.288
4,269,0.236
5,374,0.67
9,352,0.58
9,375,0.622
4,327,0.398
3,261,0.224
3,272,0.228
5,251,0.202
3,270,0.228
3,256,0.21
4,351,0.592
4,325,0.408
5,304,0.37
4,267,0.21
3,261,0.202
5,337,0.562
3,269,0.258
3,272,0.222
4,277,0.262
4,303,0.334
4,283,0.282
5,285,0.29
4,281,0.28
6,340,0.476
4,323,0.42
7,331,0.436
4,367,0.622
3,246,0.156
2,250,0.172
5,278,0.246
4,277,0.274
4,277,0.268
4,296,0.336
4,276,0.264
3,253,0.206
5,269,0.248
4,280,0.26
7,321,0.45
4,308,0.34
4,354,0.49
4,342,0.532
4,331,0.45
7,337,0.5
4,307,0.352
5,283,0.306
5,278,0.27
4,262,0.21
3,260,0.206
4,301,0.312
4,310,0.394
5,289,0.322
4,278,0.25
4,300,0.316
4,293,0.288
4,285,0.27
4,295,0.32
3,262,0.22
4,322,0.382
5,274,0.256
4,295,0.338
4,285,0.27
3,311,0.352
6,317,0.4
4,276,0.254
2,214,0.114
1,210,0.108
1,200,0.09
1,192,0.076
1,197,0.084
2,252,0.206
3,259,0.226
3,272,0.238
4,264,0.226
2,245,0.192
4,340,0.57
3,246,0.168
4,256,0.214
4,245,0.17
3,246,0.18
3,253,0.186
3,240,0.17
3,283,0.312
4,323,0.414
4,272,0.228
3,252,0.18
3,265,0.222
3,256,0.188
4,282,0.296
4,293,0.286
4,258,0.202
3,240,0.17
6,298,0.354
5,296,0.342
5,319,0.388
5,322,0.394
4,252,0.18
3,249,0.164
4,276,0.272
3,268,0.22
5,283,0.26
4,276,0.252
8,301,0.348
2,246,0.176
3,272,0.24
4,272,0.226
5,320,0.446
9,342,0.496
5,330,0.396
4,220,0.128
1,221,0.124
3,235,0.142
4,295,0.314
6,272,0.256
5,303,0.36
3,292,0.298
2,267,0.236
4,298,0.346
2,250,0.198
2,251,0.186
7,332,0.504
6,340,0.564
7,348,0.556
10,338,0.462
6,349,0.59
1,223,0.132
1,194,0.088
1,204,0.094
1,186,0.072
3,268,0.25
4,268,0.25
4,283,0.266
3,256,0.21
5,300,0.378
5,319,0.742
3,354,0.72
4,282,0.436
4,350,0.716
3,334,0.64
10,422,1.284
4,397,1.374
4,370,0.596
4,381,0.924
4,374,0.814
3,284,0.314
3,328,0.484
4,320,0.466
4,318,0.438
2,269,0.258
5,362,0.752
4,354,0.666
5,355,0.704
9,394,0.89
9,432,1.118
9,437,1.23
9,481,1.856
4,373,0.72
5,334,0.482
3,319,0.4
3,265,0.248
2,289,0.272
3,266,0.272
4,348,0.506
8,442,1.002
4,343,0.416
4,317,0.374
6,311,0.352
3,295,0.28
4,337,0.428
4,298,0.294
3,287,0.274
4,329,0.432
4,332,0.38
3,256,0.234
3,270,0.21
3,265,0.278
4,277,0.308
4,272,0.258
5,328,0.388
5,266,0.218
4,278,0.222
2,243,0.164
3,249,0.222
1,222,0.108
3,251,0.162
2,281,0.238
5,302,0.286
4,291,0.242
4,318,0.354
4,288,0.178
3,250,0.178
5,269,0.196
4,253,0.182
5,277,0.234
4,282,0.246
1,215,0.102
6,322,0.354
10,336,0.344
9,348,0.476
5,320,0.344
4,327,0.362
4,343,0.494
3,346,0.48
4,300,0.336
1,176,0.058
5,279,0.232
4,289,0.28
5,269,0.204
2,266,0.192
4,303,0.284
5,332,0.402
3,310,0.342
5,350,0.462
9,322,0.32
4,332,0.4
7,286,0.196
3,284,0.252
2,246,0.156
5,297,0.302
11,324,0.356
4,251,0.172
3,266,0.202
4,266,0.13
4,268,0.188
4,242,0.14
7,333,0.476
7,336,0.334
6,340,0.498
7,361,0.538
6,360,0.478
1,201,0.084
1,205,0.076
3,274,0.218
3,277,0.206
4,287,0.24
1,251,0.152
3,263,0.192
6,351,0.496
4,317,0.36
4,311,0.328
2,233,0.162
1,211,0.104
4,277,0.236
4,288,0.274
5,279,0.22
5,300,0.278
4,268,0.232
10,388,0.674
5,316,0.36
9,348,0.488
7,343,0.468
11,326,0.548
3,252,0.15
4,265,0.186
4,249,0.184
3,256,0.178
4,266,0.184
4,320,0.37
4,306,0.332
4,317,0.324
4,328,0.434
4,307,0.312
4,261,0.212
4,256,0.18
1,233,0.12
4,290,0.282
4,268,0.216
3,278,0.238
4,295,0.298
3,269,0.216
8,386,0.632
7,378,0.648
5,328,0.43
9,354,0.534
3,354,0.42
4,360,0.546
2,262,0.242
4,245,0.164
3,302,0.3
4,268,0.196
3,281,0.254
7,291,0.284
5,334,0.394
3,317,0.336
3,306,0.308
4,303,0.322
3,305,0.312
4,318,0.354
4,277,0.244
1,192,0.084
1,196,0.092
1,191,0.052
1,206,0.05
3,240,0.136
2,241,0.11
1,228,0.096
3,231,0.086
2,228,0.086
3,246,0.222
1,272,0.226
4,254,0.188
5,253,0.19
3,252,0.196
5,303,0.25
1,214,0.07
3,268,0.136
3,247,0.156
3,231,0.132
4,256,0.164
2,241,0.16
5,259,0.256
4,260,0.198
1,231,0.072
4,257,0.2
3,256,0.188
3,256,0.172
3,268,0.206
1,201,0.082
1,229,0.13
4,242,0.172
1,212,0.136
1,194,0.082
4,276,0.196
5,272,0.218
5,256,0.24
4,262,0.218
2,253,0.212
2,248,0.152
3,250,0.19
4,290,0.232
4,268,0.224
4,263,0.184
3,361,0.824
4,347,0.688
1,295,0.308
4,343,0.592
3,314,0.424
1,275,0.272
3,306,0.39
3,322,0.528
3,313,0.422
3,311,0.412
5,322,0.476
4,315,0.438
4,311,0.362
3,301,0.364
4,311,0.41
1,237,0.196
1,236,0.158
4,301,0.342
4,304,0.354
3,263,0.224
3,278,0.284
4,280,0.274
3,277,0.264
3,273,0.314
4,282,0.308
2,294,0.31
2,266,0.26
3,282,0.306
4,307,0.424
1,249,0.192
4,283,0.328
3,315,0.432
3,313,0.408
4,352,0.62
3,320,0.418
2,272,0.258
8,382,0.736
3,333,0.478
3,314,0.446
2,294,0.362
3,304,0.394
1,270,0.218
5,341,0.478
1,228,0.144
5,308,0.412
3,271,0.288
2,256,0.26
4,315,0.462
2,273,0.262
2,296,0.308
2,271,0.256
1,285,0.302
1,256,0.26
3,366,0.684
1,288,0.312
3,291,0.286
3,271,0.25
2,271,0.256
4,278,0.276
1,261,0.22
2,277,0.236
1,234,0.158
1,226,0.158
3,304,0.472
3,278,0.342
4,262,0.314
3,262,0.246
1,235,0.146
3,264,0.242
4,258,0.236
3,279,0.3
4,360,0.572
7,354,0.598
10,354,0.676
8,392,0.782
4,346,0.538
4,368,0.744
4,364,0.612
8,405,0.946
5,348,0.576
3,313,0.436
9,398,0.786
3,296,0.35
4,409,0.77
5,378,0.666
5,390,0.848
5,342,0.518
4,340,0.47
4,398,0.77
4,314,0.39
3,319,0.432
4,297,0.384
3,337,0.468
5,422,0.982
3,332,0.448
9,408,0.898
8,420,0.866
4,358,0.606
5,386,0.798
4,354,0.622
1,211,0.116
5,341,0.454
4,342,0.486
5,326,0.472
4,300,0.33
5,322,0.402
8,409,0.89
3,312,0.36
4,297,0.342
4,293,0.328
5,350,0.61
4,400,0.742
5,375,0.582
4,326,0.442
3,352,0.474
3,320,0.406
4,317,0.402
4,278,0.268
9,430,0.994
12,367,0.658
3,309,0.398
4,285,0.276
4,278,0.296
4,314,0.396
4,337,0.536
5,327,0.466
5,335,0.474
2,323,0.466
7,364,0.71
4,330,0.468
7,370,0.64
4,330,0.398
4,356,0.574
3,346,0.512
4,320,0.382
3,303,0.328
4,340,0.482
5,294,0.308
5,296,0.334
3,296,0.336
3,329,0.448
5,320,0.386
5,303,0.386
2,343,0.552
11,378,0.712
3,262,0.252
4,361,0.588
1,248,0.206
4,281,0.3
3,280,0.312
2,265,0.242
5,274,0.29
5,277,0.308
3,272,0.258
9,348,0.55
5,310,0.382
6,289,0.266
1,265,0.23
3,278,0.278
4,275,0.27
4,244,0.186
4,264,0.234
5,320,0.344
7,356,0.588
9,337,0.544
5,291,0.344
2,296,0.364
4,309,0.37
5,306,0.354
3,256,0.214
3,298,0.306
1,268,0.258
1,266,0.274
3,249,0.204
3,293,0.276
4,322,0.392
4,274,0.256
3,284,0.296
5,307,0.328
1,272,0.296
2,295,0.352
4,300,0.382
5,303,0.294
5,301,0.328
6,294,0.346
11,383,0.698
5,317,0.416
6,374,0.628
10,486,1.378
7,367,0.48
5,317,0.388
6,353,0.62
6,349,0.464
6,310,0.308
4,334,0.404
5,279,0.282
8,320,0.392
2,249,0.19
5,328,0.348
7,280,0.278
4,296,0.338
10,266,0.236
5,342,0.478
6,322,0.38
4,400,0.796
11,456,1.192
6,350,0.466
5,280,0.248
2,245,0.14
5,298,0.314
4,296,0.286
3,258,0.198
5,303,0.272
4,306,0.304
5,275,0.238
5,333,0.462
5,320,0.404
5,353,0.492
4,306,0.328
4,276,0.248
5,269,0.206
1,228,0.128
5,324,0.414
5,311,0.34
4,258,0.216
4,346,0.492
5,372,0.628
7,381,0.616
5,260,0.176
6,352,0.524
6,291,0.306
6,310,0.364
5,246,0.174
6,289,0.248
5,305,0.332
5,280,0.28
8,397,0.79
10,346,0.548
2,263,0.206
2,270,0.212
2,273,0.216
4,295,0.3
5,324,0.362
4,309,0.352
5,274,0.266
5,254,0.19
4,272,0.242
5,380,0.65
10,390,0.772
6,354,0.582
4,262,0.196
5,267,0.218
4,268,0.204
4,360,0.51
5,297,0.316
5,332,0.462
5,350,0.63
5,300,0.356
6,338,0.508
4,333,0.468
5,405,0.838
1,235,0.162
1,231,0.144
1,225,0.102
2,268,0.25
5,295,0.304
4,291,0.302
10,381,0.69
5,333,0.49
6,390,0.704
1,221,0.122
1,225,0.122
1,210,0.096
5,302,0.37
9,289,0.324
10,415,1.03
6,370,0.558
1,230,0.146
1,214,0.104
1,199,0.092
5,329,0.436
5,322,0.424
5,327,0.434
1,228,0.128
1,216,0.102
1,213,0.108
1,198,0.084
6,316,0.43
5,322,0.42
5,333,0.502
1,207,0.106
9,303,0.376
4,280,0.256
1,238,0.152
1,238,0.152
1,206,0.09
1,231,0.15
4,284,0.268
4,297,0.35
5,289,0.298
6,299,0.322
4,288,0.314
5,286,0.33
1,238,0.15
1,224,0.13
1,226,0.128
3,282,0.252
5,292,0.28
4,295,0.352
12,383,0.668
6,396,0.79
9,372,0.742
1,215,0.124
1,224,0.12
1,228,0.128
4,285,0.308
5,303,0.316
5,306,0.344
1,238,0.158
2,262,0.198
1,217,0.114
4,319,0.404
5,331,0.412
10,314,0.448
1,213,0.1
1,240,0.168
1,223,0.13
8,346,0.472
6,304,0.296
5,324,0.386
4,278,0.256
5,286,0.292
5,279,0.28
6,278,0.266
2,258,0.194
1,237,0.152
10,418,0.94
6,360,0.578
6,354,0.608
6,335,0.556
10,317,0.434
1,220,0.12
1,216,0.112
1,192,0.096
5,286,0.302
9,324,0.42
5,296,0.306
10,408,1.178
5,355,0.904
6,414,1.326
10,499,2.37
5,340,0.802
4,298,0.364
7,334,0.444
5,333,0.442
5,376,0.644
1,237,0.156
1,230,0.13
2,269,0.218
1,256,0.212
1,225,0.132
1,254,0.22
1,238,0.148
1,245,0.158
1,237,0.144
1,215,0.11
1,229,0.146
4,263,0.228
5,283,0.27
5,311,0.314
1,254,0.21
1,220,0.138
1,230,0.146
5,320,0.43
5,316,0.426
3,295,0.326
2,250,0.202
1,204,0.1
5,323,0.414
5,345,0.522
4,325,0.438
1,232,0.136
1,216,0.102
1,266,0.202
5,328,0.428
5,320,0.426
5,325,0.434
5,446,1.178
6,384,0.724
1,245,0.168
1,243,0.152
1,249,0.178
4,346,0.55
4,360,0.562
5,358,0.582
2,249,0.198
2,229,0.126
1,219,0.114
4,283,0.288
2,283,0.264
5,287,0.316
12,403,0.776
6,362,0.65
6,339,0.532
2,243,0.146
1,224,0.13
4,273,0.262
4,276,0.254
5,297,0.332
5,333,0.492
4,343,0.48
6,331,0.502
1,211,0.118
1,215,0.112
4,278,0.26
2,251,0.188
1,244,0.176
6,336,0.412
5,309,0.384
1,267,0.236
1,261,0.22
4,298,0.36
10,374,0.516
4,328,0.424
1,214,0.122
4,295,0.344
4,317,0.416
6,399,0.81
8,426,1
5,365,0.59
1,227,0.134
1,230,0.138
1,228,0.13
4,277,0.268
5,311,0.366
5,293,0.338
1,238,0.158
1,218,0.116
1,235,0.138
5,307,0.364
5,326,0.448
6,296,0.348
5,364,0.576
9,388,0.744
6,351,0.544
1,239,0.158
1,228,0.134
1,220,0.1
4,322,0.408
6,362,0.584
4,340,0.498
1,211,0.108
1,224,0.138
2,303,0.344
1,234,0.142
1,231,0.158
1,231,0.142
4,285,0.274
2,258,0.216
2,293,0.28
5,336,0.504
7,348,0.54
5,346,0.504
1,230,0.124
1,216,0.106
4,290,0.29
3,273,0.246
4,292,0.278
1,229,0.146
1,256,0.184
1,212,
1,231,0.144
1,211,0.108
1,220,0.126
4,281,0.284
5,282,0.3
4,288,0.282
1,252,0.17
4,297,0.292
1,198,0.088
1,229,0.128
2,244,0.152
1,192,0.074
1,216,0.098
1,216,0.108
1,256,0.198
1,251,0.18
1,235,0.148
1,223,0.132
2,232,0.14
1,211,0.096
1,231,0.136
1,207,0.118
1,211,0.102
1,251,0.178
1,234,0.134
1,222,0.114
1,211,0.098
1,228,0.142
1,216,0.128
1,215,0.108
1,228,0.152
1,211,0.112
1,192,0.078
1,234,0.148
1,176,0.062
1,204,0.092
1,218,0.13
1,212,0.126
1,210,0.124
4,305,0.354
2,262,0.238
2,268,0.222
2,220,0.134
1,214,0.126
1,221,0.12
5,314,0.386
7,273,0.296
4,268,0.246
1,303,0.354
1,296,0.336
1,285,0.32
1,296,0.354
1,298,0.352
1,281,0.302
1,283,0.3
1,306,0.342
1,275,0.258
1,268,0.238
1,277,0.248
1,293,0.31
1,276,0.258
1,289,0.288
5,345,0.464
1,268,0.234
1,256,0.222
1,293,0.316
1,256,0.232
1,268,0.274
1,265,0.26
1,256,0.216
1,257,0.196
1,243,0.204
1,260,0.258
1,287,0.344
1,261,0.228
1,266,0.246
1,296,0.32
2,280,0.278
1,292,0.4
1,300,0.356
1,276,0.284
5,302,0.46
1,262,0.232
2,242,0.22
1,228,0.164
1,238,0.184
1,256,0.186
1,248,0.188
2,248,0.198
1,311,0.432
1,271,0.258
1,250,0.258
1,280,0.282
1,257,0.21
1,252,0.206
1,280,0.302
3,352,0.614
1,270,0.296
1,284,0.284
1,252,0.24
1,269,0.244
2,303,0.368
1,308,0.392
1,264,0.258
1,248,0.206
1,283,0.316
1,269,0.282
2,314,0.38
1,264,0.242
1,256,0.22
1,260,0.24
1,299,0.37
1,288,0.35
1,284,0.356
5,328,0.516
5,384,0.742
6,331,0.478
1,317,0.496
4,363,0.622
5,326,0.484
5,353,0.584
1,282,0.362
9,365,0.612
5,326,0.484
1,299,0.414
1,307,0.424
4,312,0.404
5,301,0.37
1,287,0.4
4,362,0.662
5,353,0.602
5,361,0.696
3,344,0.502
4,318,0.432
6,385,0.732
