,Variable,Method,Breaks
1,Bottom T Summer,CPT,2020
2,Bottom T Summer,CPT,2021
3,Bottom T Summer,Breakpoints,2015
4,Bottom T Winter,CPT,2020
5,Bottom T Winter,CPT,2021
6,Bottom T Winter,Breakpoints,2015
7,Mixed Layer Summer,CPT,2020
8,Mixed Layer Summer,CPT,2021
9,Mixed Layer Summer,Breakpoints,2002
10,Mixed Layer Summer,Breakpoints,2011
11,Mixed Layer Winter,CPT,2020
12,Mixed Layer Winter,CPT,2021
13,Salinity Summer,CPT,2020
14,Salinity Summer,CPT,2021
15,Salinity Summer,Breakpoints,2002
16,Salinity Summer,Breakpoints,2005
17,Salinity Winter,CPT,2020
18,Salinity Winter,CPT,2021
19,SSH Summer,CPT,2020
20,SSH Summer,CPT,2021
21,SSH Summer,Breakpoints,2008
22,SSH Winter,CPT,2011
23,SSH Winter,CPT,2021
24,SSH Winter,Breakpoints,2011
25,SST Summer,CPT,2020
26,SST Summer,CPT,2021
27,SST Summer,Breakpoints,2014
28,SST Winter,CPT,2020
29,SST Winter,CPT,2021
30,SST Winter,Breakpoints,2015
