,Variable,Method,Breaks
1,Bottom T Mode 1,CPT,2014.25
2,Bottom T Mode 1,CPT,2021.91666666667
3,Bottom T Mode 1,Breakpoints,2002.83333333333
4,Bottom T Mode 1,Breakpoints,2013.83333333333
5,Mixed Layer Mode 1,CPT,1999.08333333333
6,Mixed Layer Mode 1,CPT,2021.91666666667
7,Mixed Layer Mode 1,Breakpoints,1999.08333333333
8,Mixed Layer Mode 1,Breakpoints,2017.58333333333
9,Salinity Mode 1,CPT,2021.83333333333
10,Salinity Mode 1,CPT,2021.91666666667
11,Salinity Mode 1,Breakpoints,2016
12,SSH Mode 1,CPT,2002.91666666667
13,SSH Mode 1,CPT,2021.91666666667
14,SSH Mode 1,Breakpoints,2002.91666666667
15,SST Mode 1,CPT,2002.66666666667
16,SST Mode 1,CPT,2021.91666666667
17,SST Mode 1,Breakpoints,2002.66666666667
18,SST Mode 1,Breakpoints,2007
19,Bottom T Mode 2,CPT,2021.83333333333
20,Bottom T Mode 2,CPT,2021.91666666667
21,Bottom T Mode 2,Breakpoints,2000.33333333333
22,Mixed Layer Mode 2,CPT,2013.83333333333
23,Mixed Layer Mode 2,CPT,2021.91666666667
24,Mixed Layer Mode 2,Breakpoints,2013.83333333333
25,Salinity Mode 2,CPT,2021.91666666667
26,Salinity Mode 2,Breakpoints,2010.25
27,SSH Mode 2,CPT,2015.16666666667
28,SSH Mode 2,CPT,2021.91666666667
29,SSH Mode 2,Breakpoints,2000.16666666667
30,SSH Mode 2,Breakpoints,2015.16666666667
31,SST Mode 2,CPT,2013.08333333333
32,SST Mode 2,CPT,2021.91666666667
33,SST Mode 2,Breakpoints,2013.08333333333
