,Variable,Method,Breaks
1,Salinity Summer Mode 2,CPT,2020
2,Salinity Summer Mode 2,CPT,2021
3,Bottom T Summer Mode 1,Breakpoints,2015
4,Salinity Summer Mode 2,CPT,2020
5,Salinity Summer Mode 2,CPT,2021
6,Bottom T Summer Mode 2,Breakpoints,1999
7,Salinity Summer Mode 2,CPT,2020
8,Salinity Summer Mode 2,CPT,2021
9,Bottom T Winter Mode 1,Breakpoints,2002
10,Bottom T Winter Mode 1,Breakpoints,2015
11,Salinity Summer Mode 2,CPT,2020
12,Salinity Summer Mode 2,CPT,2021
13,Bottom T Winter Mode 2,Breakpoints,1998
14,Bottom T Winter Mode 2,Breakpoints,2012
15,Salinity Summer Mode 2,CPT,2020
16,Salinity Summer Mode 2,CPT,2021
17,Mixed Layer Summer Mode 1,Breakpoints,2011
18,Salinity Summer Mode 2,CPT,2020
19,Salinity Summer Mode 2,CPT,2021
20,Mixed Layer Summer Mode 2,Breakpoints,1996
21,Mixed Layer Summer Mode 2,Breakpoints,2002
22,Salinity Summer Mode 2,CPT,2020
23,Salinity Summer Mode 2,CPT,2021
24,Salinity Summer Mode 2,CPT,2020
25,Salinity Summer Mode 2,CPT,2021
26,Mixed Layer Winter Mode 2,Breakpoints,2002
27,Salinity Summer Mode 2,CPT,2020
28,Salinity Summer Mode 2,CPT,2021
29,Salinity Summer Mode 2,CPT,2020
30,Salinity Summer Mode 2,CPT,2021
31,Salinity Summer Mode 2,CPT,2020
32,Salinity Summer Mode 2,CPT,2021
33,Salinity Summer Mode 2,CPT,2020
34,Salinity Summer Mode 2,CPT,2021
35,Salinity Winter Mode 2,Breakpoints,1998
36,Salinity Winter Mode 2,Breakpoints,2013
37,Salinity Summer Mode 2,CPT,2020
38,Salinity Summer Mode 2,CPT,2021
39,SSH Summer Mode 1,Breakpoints,2008
40,Salinity Summer Mode 2,CPT,2015
41,Salinity Summer Mode 2,CPT,2021
42,SSH Summer Mode 2,Breakpoints,2007
43,Salinity Summer Mode 2,CPT,2020
44,Salinity Summer Mode 2,CPT,2021
45,SSH Winter Mode 1,Breakpoints,2011
46,Salinity Summer Mode 2,CPT,2020
47,Salinity Summer Mode 2,CPT,2021
48,SSH Winter Mode 2,Breakpoints,1995
49,Salinity Summer Mode 2,CPT,2020
50,Salinity Summer Mode 2,CPT,2021
51,SST Summer Mode 1,Breakpoints,2014
52,Salinity Summer Mode 2,CPT,2020
53,Salinity Summer Mode 2,CPT,2021
54,Salinity Summer Mode 2,CPT,2020
55,Salinity Summer Mode 2,CPT,2021
56,SST Winter Mode 1,Breakpoints,2015
57,Salinity Summer Mode 2,CPT,2020
58,Salinity Summer Mode 2,CPT,2021
59,SST Winter Mode 2,Breakpoints,2012
