YEAR,ANNUAL_0_25,WINTER_0_25,SPRING_0_25,SUMMER_0_25,FALL_0_25,ANNUAL_20_50,WINTER_20_50,SPRING_20_50,SUMMER_20_50,FALL_20_50,ANNUAL_50_200,WINTER_50_200,SPRING_50_200,SUMMER_50_200,FALL_50_200,ANNUAL_EF,WINTER_EF,SPRING_EF,SUMMER_EF,FALL_EF,ANNUAL_MID,WINTER_MID,SPRING_MID,SUMMER_MID,FALL_MID,ANNUAL_NC,WINTER_NC,SPRING_NC,SUMMER_NC,FALL_NC
1998,0.05686,0.1138,0.16411,0.07844,-0.10995,0.4839,0.56377,1.26902,0.50412,-0.37468,0.35108,0.01452,0.68957,0.71411,-0.12606,0.08058,0.24116,0.2926,0.12924,-0.28715,0.09255,0.10929,0.20763,0.14417,-0.0853,0.01861,-0.03179,0.0706,0.05098,-0.03218
1999,-0.03732,-0.0738,-0.1416,-0.05086,0.11697,-0.23432,-0.5118,-0.33022,-0.28991,0.19466,-0.2357,-0.58372,-0.12353,-0.31294,0.0774,-0.04991,-0.12115,-0.21558,0.02652,0.11059,-0.01981,-0.04934,-0.09981,-0.03596,0.10588,-0.02926,-0.0723,-0.05207,-0.03199,0.0393
2000,-0.07525,-0.07126,-0.09655,-0.04724,-0.08594,-0.43188,-0.49411,-0.41407,-0.27803,-0.54131,-0.38565,-0.50212,-0.31869,-0.33237,-0.38942,-0.22181,-0.25523,-0.18374,-0.13894,-0.30932,-0.11362,-0.08456,-0.13975,-0.12548,-0.10468,-0.00697,-0.03081,-0.01625,0.03505,-0.0159
2001,-0.15578,-0.24683,-0.19186,-0.05873,-0.12572,-0.4456,-0.6455,-0.2748,-0.49665,-0.36545,-0.30456,-0.57463,0.01832,-0.34583,-0.3161,-0.16334,-0.33403,-0.22578,-0.11311,0.01955,-0.19956,-0.3586,-0.19104,-0.07615,-0.17247,-0.06443,-0.09713,-0.06994,-0.00593,-0.08474
2002,-0.16198,-0.15994,-0.27598,-0.11608,-0.09592,-0.56364,-0.34594,-0.9932,-0.55307,-0.36233,-0.54158,-0.18038,-0.66659,-1.04356,-0.27582,-0.05097,-0.10227,-0.20743,0.16974,-0.06391,-0.18259,-0.14107,-0.34676,-0.17754,-0.06497,-1.31976,-0.10649,-0.12694,-4.94975,-0.09585
2003,0.1014,0.0266,0.18126,0.09407,0.10369,0.35712,0.16995,0.22591,0.65352,0.37908,0.29595,0.14205,0.11197,0.63663,0.29314,0.11146,-0.0195,0.20408,0.13206,0.12921,0.14051,0.08901,0.16652,0.21853,0.08797,0.03284,-0.00255,0.02027,0.03078,0.08286
2004,-0.02103,0.00207,-0.11732,-0.13317,0.16428,0.07862,0.16889,-0.24068,-0.10219,0.48846,0.06784,0.0278,-0.13459,0.08372,0.29442,0.05698,0.07801,-0.08483,-0.01186,0.2466,-0.02189,0.0192,-0.14724,-0.11726,0.15773,-0.03151,-0.03384,-0.04396,-0.11842,0.07019
2005,0.04445,0.03093,0.03691,0.04959,0.06037,0.12974,0.17857,0.26631,0.016,0.05809,0.08483,0.15186,0.25307,-0.02924,-0.03638,0.16977,0.19025,0.20525,0.11159,0.17201,-0.01688,-0.10332,-0.00057,0.06589,-0.02951,0.0202,0.05059,-0.01306,-0.00448,0.04775
2006,-0.02598,0.08853,-0.08864,-0.08014,-0.02368,0.01087,0.2396,0.0841,-0.37589,0.09566,0.02193,0.14792,0.10748,-0.26089,0.0932,-0.07293,0.03478,0.02529,-0.15156,-0.20022,-0.00765,0.06673,-0.0658,-0.04814,0.0166,-0.00749,0.08892,-0.07929,-0.07336,0.03379
2007,-0.04601,-0.07085,-0.0334,0.0734,-0.15318,-0.24363,-0.21332,-0.15597,-0.21098,-0.39426,-0.33046,-0.15711,-0.17961,-0.45675,-0.52835,-0.08048,-0.1863,-0.11577,-0.03735,0.0175,-0.0785,-0.10526,-0.0609,0.05819,-0.20602,-0.02805,-0.01954,0.01204,0.04307,-0.14778
