"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Fall",-0.120063956281046,0.104798115180672
"28-30",1994,"Fall",-0.139063100045752,0.0857989714159664
"28-30",1995,"Fall",-0.160726302470588,0.0641357689911298
"28-30",1996,"Fall",-0.181582359143791,0.0432797123179272
"28-30",1997,"Fall",-0.198406337732026,0.0264557337296919
"28-30",1998,"Fall",-0.212972124398693,0.0118899470630252
"28-30",1999,"Fall",-0.225116148045752,-0.000254076584033619
"28-30",2000,"Fall",-0.240820000562091,-0.0159579291003735
"28-30",2001,"Fall",-0.254902791522876,-0.0300407200611578
"28-30",2002,"Fall",-0.262977256823529,-0.0381151853618114
"28-30",2003,"Fall",-0.264227663071895,-0.0393655916101774
"28-30",2004,"Fall",-0.260641059647059,-0.0357789881853408
"28-30",2005,"Fall",-0.255372938052288,-0.0305108665905695
"28-30",2006,"Fall",-0.251916932653595,-0.0270548611918768
"28-30",2007,"Fall",-0.250681021810458,-0.0258189503487395
"28-30",2008,"Fall",-0.249222520594771,-0.0243604491330532
"28-30",2009,"Fall",-0.247728571915033,-0.0228665004533146
"28-30",2010,"Fall",-0.245664252156863,-0.0208021806951447
"28-30",2011,"Fall",-0.242391761006536,-0.0175296895448179
"28-30",2012,"Fall",-0.238904897379085,-0.0140428259173669
"28-30",2013,"Fall",-0.237446917535948,-0.0125848460742297
"28-30",2014,"Fall",-0.235834341908497,-0.0109722704467787
"28-30",2015,"Fall",-0.234192253098039,-0.00933018163632118
"28-30",2016,"Fall",-0.228816883712418,-0.00395481225070027
"28-30",2017,"Fall",-0.221984431627451,0.00287763983426703
"28-30",2018,"Fall",-0.215068922202614,0.00979314925910366
"28-30",2019,"Fall",-0.209997247019608,0.0148648244421102
"28-30",2020,"Fall",-0.209415008509804,0.0154470629519141
"30-31",1993,"Fall",-0.08598048932,0.113122474961429
"30-31",1994,"Fall",-0.10780955724,0.0912934070414286
"30-31",1995,"Fall",-0.13214694312,0.0669560211614286
"30-31",1996,"Fall",-0.15711543132,0.0419875329614286
"30-31",1997,"Fall",-0.178639626866667,0.0204633374147619
"30-31",1998,"Fall",-0.197812393493333,0.00129057078809525
"30-31",1999,"Fall",-0.21315129428,-0.0140483299985714
"30-31",2000,"Fall",-0.229392689306667,-0.0302897250252381
"30-31",2001,"Fall",-0.245402953186667,-0.0462999889052381
"30-31",2002,"Fall",-0.257096170133333,-0.0579932058519048
"30-31",2003,"Fall",-0.261357777586667,-0.0622548133052381
"30-31",2004,"Fall",-0.258014745133333,-0.0589117808519048
"30-31",2005,"Fall",-0.251180853653333,-0.0520778893719047
"30-31",2006,"Fall",-0.24445131984,-0.0453483555585714
"30-31",2007,"Fall",-0.2393189486,-0.0402159843185714
"30-31",2008,"Fall",-0.2349099376,-0.0358069733185714
"30-31",2009,"Fall",-0.22913071184,-0.0300277475585714
"30-31",2010,"Fall",-0.221142257053333,-0.0220392927719048
"30-31",2011,"Fall",-0.211521600746667,-0.0124186364652381
"30-31",2012,"Fall",-0.202164780226667,-0.00306181594523811
