"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Fall",0.0618498918954248,-0.0704299560966387
"28-30",1994,"Fall",0.0916951324705882,-0.0405847155214753
"28-30",1995,"Fall",0.118560945392157,-0.0137189025999066
"28-30",1996,"Fall",0.139076177738562,0.0067963297464986
"28-30",1997,"Fall",0.15203449745098,0.0197546494589169
"28-30",1998,"Fall",0.161209143738562,0.0289292957464986
"28-30",1999,"Fall",0.166267139980392,0.0339872919883287
"28-30",2000,"Fall",0.167662311058824,0.03538246306676
"28-30",2001,"Fall",0.169985764797386,0.0377059168053221
"28-30",2002,"Fall",0.174841085627451,0.0425612376353875
"28-30",2003,"Fall",0.179677156202614,0.0473973082105509
"28-30",2004,"Fall",0.182545719379085,0.0502658713870215
"28-30",2005,"Fall",0.183965013594771,0.0516851656027077
"28-30",2006,"Fall",0.183550804535948,0.0512709565438842
"28-30",2007,"Fall",0.183873801901961,0.0515939539098973
"28-30",2008,"Fall",0.185686910333333,0.0534070623412699
"28-30",2009,"Fall",0.182370986542484,0.0500911385504202
"28-30",2010,"Fall",0.172229795071895,0.0399499470798319
"28-30",2011,"Fall",0.156041370320261,0.0237615223281979
"28-30",2012,"Fall",0.13355942020915,0.00127957221708683
"28-30",2013,"Fall",0.103831846366013,-0.0284480016260504
"28-30",2014,"Fall",0.0820689400718954,-0.0502109079201681
"28-30",2015,"Fall",0.067703512627451,-0.0645763353646125
"28-30",2016,"Fall",0.0608111687777778,-0.0714686792142857
"28-30",2017,"Fall",0.0596550204052288,-0.0726248275868347
"28-30",2018,"Fall",0.0606522564836601,-0.0716275915084034
"28-30",2019,"Fall",0.0608471641568627,-0.0714326838352007
"28-30",2020,"Fall",0.0615827666470588,-0.0706970813450047
"30-31",1993,"Fall",0.04120050812,-0.0488022270639048
"30-31",1994,"Fall",0.0535739069493333,-0.0364288282345714
"30-31",1995,"Fall",0.0673695809066667,-0.0226331542772381
"30-31",1996,"Fall",0.07778600816,-0.0122167270239048
"30-31",1997,"Fall",0.08417542048,-0.00582731470390477
"30-31",1998,"Fall",0.0877222681066667,-0.0022804670772381
"30-31",1999,"Fall",0.0901204474133333,0.000117712229428565
"30-31",2000,"Fall",0.09277388108,0.00277114589609523
"30-31",2001,"Fall",0.09660352136,0.00660078617609523
"30-31",2002,"Fall",0.105479266053333,0.0154765308694286
"30-31",2003,"Fall",0.11732056004,0.0273178248560952
"30-31",2004,"Fall",0.128031690053333,0.0380289548694286
"30-31",2005,"Fall",0.133903775426667,0.0439010402427619
"30-31",2006,"Fall",0.13608742652,0.0460846913360952
"30-31",2007,"Fall",0.136269041253333,0.0462663060694286
"30-31",2008,"Fall",0.136252911533333,0.0462501763494286
"30-31",2009,"Fall",0.134327652146667,0.0443249169627619
"30-31",2010,"Fall",0.127593749933333,0.0375910147494286
"30-31",2011,"Fall",0.116419770826667,0.0264170356427619
"30-31",2012,"Fall",0.100435031413333,0.0104322962294286
"30-31",2013,"Fall",0.0807493232266667,-0.0092534119572381
"30-31",2014,"Fall",0.0666069733466667,-0.0233957618372381
"30-31",2015,"Fall",0.0567172121333333,-0.0332855230505714
"30-31",2016,"Fall",0.0511146325466667,-0.0388881026372381
"30-31",2017,"Fall",0.0497598747333333,-0.0402428604505714
"30-31",2018,"Fall",0.05023405,-0.0397686851839048
"30-31",2019,"Fall",0.0505252021066667,-0.0394775330772381
"30-31",2020,"Fall",0.05092289928,-0.0390798359039048
"31-32",1993,"Fall",0.06156342204,-0.0121169672457143
"31-32",1994,"Fall",0.0652947554533333,-0.00838563383238095
"31-32",1995,"Fall",0.06898764892,-0.00469274036571428
"31-32",1996,"Fall",0.0700995094266667,-0.00358087985904762
"31-32",1997,"Fall",0.0691641166133333,-0.00451627267238096
"31-32",1998,"Fall",0.0635128032266667,-0.0101675860590476
"31-32",1999,"Fall",0.0552897059066667,-0.0183906833790476
"31-32",2000,"Fall",0.0506258401333333,-0.0230545491523809
"31-32",2001,"Fall",0.0531171440266667,-0.0205632452590476
"31-32",2002,"Fall",0.0671907550533333,-0.00648963423238096
"31-32",2003,"Fall",0.0905474334533333,0.0168670441676191
"31-32",2004,"Fall",0.112300422693333,0.038620033407619
"31-32",2005,"Fall",0.12333892628,0.0496585369942857
"31-32",2006,"Fall",0.124463434226667,0.0507830449409524
"31-32",2007,"Fall",0.121678996946667,0.0479986076609524
"31-32",2008,"Fall",0.119786260786667,0.0461058715009524
"31-32",2009,"Fall",0.117680193386667,0.0439998041009524
