"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Spring",-0.102967989313725,-0.0525874223253968
"28-30",1994,"Spring",-0.105125461941176,-0.0547448949528478
"28-30",1995,"Spring",-0.109543670098039,-0.0591631031097105
"28-30",1996,"Spring",-0.115128485705882,-0.0647479187175537
"28-30",1997,"Spring",-0.116794202732026,-0.0664136357436975
"28-30",1998,"Spring",-0.112727679653595,-0.0623471126652661
"28-30",1999,"Spring",-0.103249052228758,-0.0528684852404295
"28-30",2000,"Spring",-0.088917813379085,-0.0385372463907563
"28-30",2001,"Spring",-0.0694367715098039,-0.0190562045214753
"28-30",2002,"Spring",-0.0470659812352941,0.00331458575303455
"28-30",2003,"Spring",-0.0255441696601307,0.0248363973281979
"28-30",2004,"Spring",-0.00526342754248366,0.045117139445845
"28-30",2005,"Spring",0.00847792799346405,0.0588584949817927
"28-30",2006,"Spring",0.0139115159869281,0.0642920829752568
"28-30",2007,"Spring",0.0151542910980392,0.0655348580863679
"28-30",2008,"Spring",0.0144042080457516,0.0647847750340803
"28-30",2009,"Spring",0.00945813133333333,0.059838698321662
"28-30",2010,"Spring",-0.000484169830065359,0.0498963971582633
"28-30",2011,"Spring",-0.0145266256339869,0.0358539413543417
"28-30",2012,"Spring",-0.029025004869281,0.0213555621190476
"28-30",2013,"Spring",-0.0411989620588235,0.00918160492950514
"28-30",2014,"Spring",-0.0483605820130719,0.00201998497525677
"28-30",2015,"Spring",-0.0500723138562092,0.000308253132119511
"28-30",2016,"Spring",-0.0502389518366013,0.000141615151727358
"28-30",2017,"Spring",-0.0520286149346405,-0.00164804794631186
"28-30",2018,"Spring",-0.0558232848888889,-0.00544271790056022
"28-30",2019,"Spring",-0.0611283894509804,-0.0107478224626517
"28-30",2020,"Spring",-0.0674103457581699,-0.0170297787698413
"30-31",1993,"Spring",-0.0754172838,-0.0333641343104762
"30-31",1994,"Spring",-0.0793288725333333,-0.0372757230438095
"30-31",1995,"Spring",-0.085064904,-0.0430117545104762
"30-31",1996,"Spring",-0.09102105656,-0.0489679070704762
"30-31",1997,"Spring",-0.0934681739466667,-0.0514150244571429
"30-31",1998,"Spring",-0.0913431601333333,-0.0492900106438095
