"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Spring",-0.043697185254902,-0.0225883381711391
"28-30",1994,"Spring",-0.0354686690718954,-0.0143598219881326
"28-30",1995,"Spring",-0.0293967575620915,-0.00828791047832867
"28-30",1996,"Spring",-0.023633198130719,-0.00252435104695612
"28-30",1997,"Spring",-0.0113536165882353,0.00975523049552754
"28-30",1998,"Spring",0.0101853985555556,0.0312942456393184
"28-30",1999,"Spring",0.0336312279477124,0.0547400750314753
"28-30",2000,"Spring",0.0582038254117647,0.0793126724955275
"28-30",2001,"Spring",0.0763364329222222,0.0974452800059851
"28-30",2002,"Spring",0.0835149198235294,0.104623766907292
"28-30",2003,"Spring",0.081571410869281,0.102680257953044
"28-30",2004,"Spring",0.0716341069607843,0.0927429540445472
"28-30",2005,"Spring",0.0512727645816993,0.0723816116654622
"28-30",2006,"Spring",0.0258945478496732,0.047003394933436
"28-30",2007,"Spring",0.00618017691503268,0.0272890239987955
"28-30",2008,"Spring",-0.0143336144183007,0.00677523266546218
"28-30",2009,"Spring",-0.0398474258431373,-0.0187385787593744
"28-30",2010,"Spring",-0.0714735444444444,-0.0503646973606816
"28-30",2011,"Spring",-0.100405090836601,-0.0792962437528385
"28-30",2012,"Spring",-0.11856474127451,-0.097455894190747
"28-30",2013,"Spring",-0.118259157653203,-0.0971503105694398
"28-30",2014,"Spring",-0.105202988052288,-0.0840941409685247
"28-30",2015,"Spring",-0.0917964909869281,-0.0706876439031653
"28-30",2016,"Spring",-0.0836204301176471,-0.0625115830338842
"28-30",2017,"Spring",-0.0757682329084967,-0.0546593858247339
"28-30",2018,"Spring",-0.063941295620915,-0.0428324485371522
"28-30",2019,"Spring",-0.0450540246078431,-0.0239451775240803
"28-30",2020,"Spring",-0.0176560668104575,0.00345278027330532
"30-31",1993,"Spring",-0.04308885356,-0.0141750034097952
"30-31",1994,"Spring",-0.04845295352,-0.0195391033697952
"30-31",1995,"Spring",-0.0539993189306667,-0.0250854687804619
"30-31",1996,"Spring",-0.05893243276,-0.0300185826097952
"30-31",1997,"Spring",-0.057794392676,-0.0288805425257952
"30-31",1998,"Spring",-0.0467422302933333,-0.0178283801431286
"30-31",1999,"Spring",-0.030603531,-0.00168968084979524
"30-31",2000,"Spring",-0.0136327942133333,0.0152810559368714
"30-31",2001,"Spring",-0.00156838345333333,0.0273454666968714
"30-31",2002,"Spring",0.00411056829333333,0.0330244184435381
"30-31",2003,"Spring",0.00694589590666667,0.0358597460568714
"30-31",2004,"Spring",0.00865396892,0.0375678190702048
"30-31",2005,"Spring",0.00902018712,0.0379340372702048
"30-31",2006,"Spring",0.00536183910666667,0.0342756892568714
"30-31",2007,"Spring",3.57064666666665e-05,0.0289495566168714
"30-31",2008,"Spring",-0.00754686210666667,0.0213669880435381
"30-31",2009,"Spring",-0.0170005209466667,0.0119133292035381
"30-31",2010,"Spring",-0.0281792570266667,0.000734593123538095
"30-31",2011,"Spring",-0.0387560606857333,-0.00984221053552857
"30-31",2012,"Spring",-0.04517293012,-0.0162590799697952
"30-31",2013,"Spring",-0.0465476021333333,-0.0176337519831286
"30-31",2014,"Spring",-0.0434165635333333,-0.0145027133831286
"30-31",2015,"Spring",-0.0410814964266667,-0.0121676462764619
"30-31",2016,"Spring",-0.0428223317733333,-0.0139084816231286
"30-31",2017,"Spring",-0.04572685296,-0.0168130028097952
"30-31",2018,"Spring",-0.0479062722,-0.0189924220497952
"30-31",2019,"Spring",-0.0463071198266667,-0.0173932696764619
"30-31",2020,"Spring",-0.0384372098733333,-0.00952335972312857
"31-32",1993,"Spring",-0.0782078817333333,-0.0338444185461429
"31-32",1994,"Spring",-0.08205924492,-0.0376957817328095
"31-32",1995,"Spring",-0.0884919518533333,-0.0441284886661429
"31-32",1996,"Spring",-0.0944326785066667,-0.0500692153194762
"31-32",1997,"Spring",-0.0939025319466667,-0.0495390687594762
"31-32",1998,"Spring",-0.0826129146266667,-0.0382494514394762
"31-32",1999,"Spring",-0.0643098703066667,-0.0199464071194762
"31-32",2000,"Spring",-0.04649780412,-0.00213434093280952
"31-32",2001,"Spring",-0.03344828356,0.0109151796271905
"31-32",2002,"Spring",-0.02592049152,0.0184429716671905
"31-32",2003,"Spring",-0.0184982098933333,0.0258652532938571
"31-32",2004,"Spring",-0.0085003236,0.0358631395871905
"31-32",2005,"Spring",8.49110799999999e-05,0.0444483742671905
"31-32",2006,"Spring",0.00386386805333333,0.0482273312405238
"31-32",2007,"Spring",0.00491332008,0.0492767832671905
"31-32",2008,"Spring",0.00508557782666667,0.0494490410138571
"31-32",2009,"Spring",0.00378908273333333,0.0481525459205238
"31-32",2010,"Spring",-0.00137445718666667,0.0429890060005238
"31-32",2011,"Spring",-0.0120385690933333,0.0323248940938571
"31-32",2012,"Spring",-0.0236360798933333,0.0207273832938571
"31-32",2013,"Spring",-0.0350901156,0.00927334758719048
"31-32",2014,"Spring",-0.043421987748,0.000941475439190473
"31-32",2015,"Spring",-0.0509522861866667,-0.00658882299947619
"31-32",2016,"Spring",-0.0609865012133333,-0.0166230380261429
"31-32",2017,"Spring",-0.07027849688,-0.0259150336928095
"31-32",2018,"Spring",-0.0790264533866667,-0.0346629901994762
"31-32",2019,"Spring",-0.08512795628,-0.0407644930928095
"31-32",2020,"Spring",-0.08109863896,-0.0367351757728095
"32-33",1993,"Spring",-0.04114804792,-0.0115419302806667
"32-33",1994,"Spring",-0.04143642372,-0.0118303060806667
"32-33",1995,"Spring",-0.0418022372533333,-0.012196119614
"32-33",1996,"Spring",-0.04125678216,-0.0116506645206667
"32-33",1997,"Spring",-0.0392265075333333,-0.009620389894
"32-33",1998,"Spring",-0.03669646,-0.00709034236066667
"32-33",1999,"Spring",-0.0342329208133333,-0.004626803174
"32-33",2000,"Spring",-0.0327204945626667,-0.00311437692333333
"32-33",2001,"Spring",-0.0324130278266667,-0.00280691018733334
"32-33",2002,"Spring",-0.03226763076,-0.00266151312066666
"32-33",2003,"Spring",-0.0307628577466667,-0.00115674010733333
"32-33",2004,"Spring",-0.0291001845733333,0.000505933066000001
"32-33",2005,"Spring",-0.0289816251733333,0.000624492466
"32-33",2006,"Spring",-0.0304674279866667,-0.000861310347333333
"32-33",2007,"Spring",-0.0315324305133333,-0.001926312874
"32-33",2008,"Spring",-0.0295899422666667,1.61753726666686e-05
"32-33",2009,"Spring",-0.02431732152,0.00528879611933333
"32-33",2010,"Spring",-0.01895575308,0.0106503645593333
"32-33",2011,"Spring",-0.0173707733066667,0.0122353443326667
"32-33",2012,"Spring",-0.0180000814973333,0.011606036142
"32-33",2013,"Spring",-0.0201054002746667,0.00950071736466667
"32-33",2014,"Spring",-0.02054502116,0.00906109647933333
"32-33",2015,"Spring",-0.0202218052933333,0.009384312346
"32-33",2016,"Spring",-0.0216876227333333,0.007918494906
"32-33",2017,"Spring",-0.0247015192,0.00490459843933333
"32-33",2018,"Spring",-0.0283672268266667,0.00123889081266667
"32-33",2019,"Spring",-0.0309306241546667,-0.00132450651533333
"32-33",2020,"Spring",-0.0301331440453333,-0.000527026405999997
"33-34",1993,"Spring",-0.0401676693066667,-0.0153012666990476
"33-34",1994,"Spring",-0.0455845230933333,-0.0207181204857143
"33-34",1995,"Spring",-0.04918565384,-0.024319251232381
"33-34",1996,"Spring",-0.0500821236266667,-0.0252157210190476
"33-34",1997,"Spring",-0.0464149436533333,-0.0215485410457143
"33-34",1998,"Spring",-0.04029819772,-0.0154317951123809
"33-34",1999,"Spring",-0.0354311678533333,-0.0105647652457143
"33-34",2000,"Spring",-0.03259505832,-0.00772865571238095
"33-34",2001,"Spring",-0.0299717071733333,-0.00510530456571429
"33-34",2002,"Spring",-0.0278116104266667,-0.00294520781904762
"33-34",2003,"Spring",-0.0264226416666667,-0.00155623905904762
"33-34",2004,"Spring",-0.0266475486933333,-0.00178114608571429
"33-34",2005,"Spring",-0.0267418220133333,-0.00187541940571428
"33-34",2006,"Spring",-0.0284707520533333,-0.00360434944571428
"33-34",2007,"Spring",-0.0320574489466667,-0.00719104633904762
"33-34",2008,"Spring",-0.0319678383066667,-0.00710143569904761
"33-34",2009,"Spring",-0.0268774776533333,-0.00201107504571428
"33-34",2010,"Spring",-0.0211131821333333,0.00375322047428571
"33-34",2011,"Spring",-0.017412138,0.00745426460761905
"33-34",2012,"Spring",-0.0151335646,0.00973283800761905
"33-34",2013,"Spring",-0.0148402920533333,0.0100261105542857
"33-34",2014,"Spring",-0.0133765970133333,0.0114898055942857
"33-34",2015,"Spring",-0.00826606269333333,0.0166003399142857
"33-34",2016,"Spring",-0.00215427353333333,0.0227121290742857
"33-34",2017,"Spring",0.00041367372,0.025280076327619
"33-34",2018,"Spring",-2.44855733333327e-05,0.0248419170342857
"33-34",2019,"Spring",-0.00246816857333333,0.0223982340342857
"33-34",2020,"Spring",-0.00515599821333333,0.0197104043942857
"34-35",1993,"Spring",0.00158233234234234,0.00523057281821107
"34-35",1994,"Spring",-0.00212774574774775,0.00152049472812098
"34-35",1995,"Spring",-0.00582441436936937,-0.00217617389350064
"34-35",1996,"Spring",-0.0118061228468468,-0.00815788237097812
"34-35",1997,"Spring",-0.0191929906666667,-0.0155447501907979
"34-35",1998,"Spring",-0.0277192344144144,-0.0240709939385457
"34-35",1999,"Spring",-0.0357295290990991,-0.0320812886232304
"34-35",2000,"Spring",-0.0421315863423423,-0.0384833458664736
