"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Summer",0.0229461434333333,-0.0287458431789449
"28-30",1994,"Summer",0.0152629494575163,-0.0364290371547619
"28-30",1995,"Summer",0.0123733404248366,-0.0393186461874416
"28-30",1996,"Summer",0.0141734687973856,-0.0375185178148926
"28-30",1997,"Summer",0.023136515496732,-0.0285554711155462
"28-30",1998,"Summer",0.0354100292287582,-0.0162819573835201
"28-30",1999,"Summer",0.0466920060653595,-0.00499998054691877
"28-30",2000,"Summer",0.0587845123464052,0.00709252573412698
"28-30",2001,"Summer",0.0703255261307189,0.0186335395184407
"28-30",2002,"Summer",0.0807236301764706,0.0290316435641923
"28-30",2003,"Summer",0.0880566313464052,0.036364644734127
"28-30",2004,"Summer",0.0907557416078431,0.0390637549955649
"28-30",2005,"Summer",0.0887797875555556,0.0370878009432773
"28-30",2006,"Summer",0.0834048869673203,0.031712900355042
"28-30",2007,"Summer",0.0754776461960784,0.0237856595838002
"28-30",2008,"Summer",0.0675461432908497,0.0158541566785714
"28-30",2009,"Summer",0.0605269947189543,0.00883500810667601
"28-30",2010,"Summer",0.0551358666980392,0.00344388008576097
"28-30",2011,"Summer",0.0539578809869281,0.00226589437464986
"28-30",2012,"Summer",0.055523426496732,0.00383143988445378
"28-30",2013,"Summer",0.0573851357385621,0.00569314912628385
"28-30",2014,"Summer",0.0579968839444444,0.0063048973321662
"28-30",2015,"Summer",0.056973591496732,0.00528160488445378
"28-30",2016,"Summer",0.0517035055816993,1.1518969421101e-05
"28-30",2017,"Summer",0.043881921875817,-0.00781006473646125
"28-30",2018,"Summer",0.0361703946405229,-0.0155215919717554
"28-30",2019,"Summer",0.0272395100254902,-0.024452476586788
"28-30",2020,"Summer",0.0170315544183007,-0.0346604321939776
"30-31",1993,"Summer",0.0219645147066667,-0.0263572685808571
"30-31",1994,"Summer",0.0119363719733333,-0.0363854113141905
"30-31",1995,"Summer",0.00555482728,-0.0427669560075238
"30-31",1996,"Summer",0.00516057701333333,-0.0431612062741905
"30-31",1997,"Summer",0.01278739836,-0.0355343849275238
"30-31",1998,"Summer",0.02565333908,-0.0226684442075238
"30-31",1999,"Summer",0.0390613464666667,-0.00926043682085714
"30-31",2000,"Summer",0.05135669744,0.00303491415247619
"30-31",2001,"Summer",0.0617596930666667,0.0134379097791429
"30-31",2002,"Summer",0.0715321035066667,0.0232103202191429
"30-31",2003,"Summer",0.0816275339733333,0.0333057506858095
"30-31",2004,"Summer",0.0897040720933333,0.0413822888058095
"30-31",2005,"Summer",0.0921019484,0.0437801651124762
"30-31",2006,"Summer",0.0893329953466667,0.0410112120591429
"30-31",2007,"Summer",0.08128847292,0.0329666896324762
"30-31",2008,"Summer",0.07014980992,0.0218280266324762
"30-31",2009,"Summer",0.0598452254533333,0.0115234421658095
"30-31",2010,"Summer",0.0532940589386667,0.00497227565114285
"30-31",2011,"Summer",0.050787768792,0.00246598550447619
"30-31",2012,"Summer",0.0512432026666667,0.00292141937914286
"30-31",2013,"Summer",0.0518658475333333,0.00354406424580953
"30-31",2014,"Summer",0.0509212327066667,0.00259944941914286
"30-31",2015,"Summer",0.0490668862666667,0.000745102979142855
"30-31",2016,"Summer",0.0451270321866667,-0.00319475110085714
"30-31",2017,"Summer",0.0412213165066667,-0.00710046678085714
"30-31",2018,"Summer",0.0370908538933333,-0.0112309293941905
"30-31",2019,"Summer",0.0303719429733333,-0.0179498403141905
"30-31",2020,"Summer",0.0212028625866667,-0.0271189207008571
"31-32",1993,"Summer",0.0210386986,-0.0318930605705238
"31-32",1994,"Summer",0.0161989882053333,-0.0367327709651905
"31-32",1995,"Summer",0.0167202598266667,-0.0362114993438571
"31-32",1996,"Summer",0.0249714733693333,-0.0279602858011905
"31-32",1997,"Summer",0.0418597379866667,-0.0110720211838571
"31-32",1998,"Summer",0.0638482695066667,0.0109165103361429
"31-32",1999,"Summer",0.0851287971066667,0.0321970379361429
"31-32",2000,"Summer",0.102092152106667,0.0491603929361429
"31-32",2001,"Summer",0.111439034853333,0.0585072756828095
"31-32",2002,"Summer",0.116559916,0.0636281568294762
"31-32",2003,"Summer",0.120244569186667,0.0673128100161429
"31-32",2004,"Summer",0.120480038266667,0.0675482790961429
"31-32",2005,"Summer",0.113556720373333,0.0606249612028095
"31-32",2006,"Summer",0.09989215968,0.0469604005094762
"31-32",2007,"Summer",0.0811267846666667,0.0281950254961429
"31-32",2008,"Summer",0.0585083041466667,0.00557654497614286
"31-32",2009,"Summer",0.0382894020133333,-0.0146423571571905
"31-32",2010,"Summer",0.0248689806,-0.0280627785705238
"31-32",2011,"Summer",0.0193391985333333,-0.0335925606371905
"31-32",2012,"Summer",0.0199584784,-0.0329732807705238
"31-32",2013,"Summer",0.0220741464533333,-0.0308576127171905
"31-32",2014,"Summer",0.0226062021733333,-0.0303255569971905
"31-32",2015,"Summer",0.0228865555733333,-0.0300452035971905
"31-32",2016,"Summer",0.02314867984,-0.0297830793305238
"31-32",2017,"Summer",0.0245721734666667,-0.0283595857038571
"31-32",2018,"Summer",0.0252550788666667,-0.0276766803038571
"31-32",2019,"Summer",0.0241941786133333,-0.0287375805571905
"31-32",2020,"Summer",0.02123027836,-0.0317014808105238
"32-33",1993,"Summer",0.024047871,-0.0135020136395238
"32-33",1994,"Summer",0.0168876969466667,-0.0206621876928571
"32-33",1995,"Summer",0.013560678,-0.0239892066395238
"32-33",1996,"Summer",0.0176649593866667,-0.0198849252528571
"32-33",1997,"Summer",0.0319225960133333,-0.00562728862619048
"32-33",1998,"Summer",0.0518607231333333,0.0143108384938095
"32-33",1999,"Summer",0.07050556028,0.0329556756404762
"32-33",2000,"Summer",0.0838173597333333,0.0462674750938095
"32-33",2001,"Summer",0.0885001711066667,0.0509502864671429
"32-33",2002,"Summer",0.0876678676666667,0.0501179830271429
"32-33",2003,"Summer",0.08513831396,0.0475884293204762
"32-33",2004,"Summer",0.0820106311066667,0.0444607464671429
"32-33",2005,"Summer",0.0764740690933333,0.0389241844538095
"32-33",2006,"Summer",0.0656253857333333,0.0280755010938095
"32-33",2007,"Summer",0.0489008412533333,0.0113509566138095
"32-33",2008,"Summer",0.0272707614266667,-0.0102791232128571
"32-33",2009,"Summer",0.00807617484,-0.0294737097995238
"32-33",2010,"Summer",-0.0025646262,-0.0401145108395238
"32-33",2011,"Summer",-0.00359305868,-0.0411429433195238
"32-33",2012,"Summer",0.0012643454,-0.0362855392395238
"32-33",2013,"Summer",0.00780228902666667,-0.0297475956128571
"32-33",2014,"Summer",0.0132092715866667,-0.0243406130528571
"32-33",2015,"Summer",0.0176104322533333,-0.0199394523861905
"32-33",2016,"Summer",0.02250807728,-0.0150418073595238
"32-33",2017,"Summer",0.0269524436533333,-0.0105974409861905
"32-33",2018,"Summer",0.02990004004,-0.00764984459952381
"32-33",2019,"Summer",0.03007839784,-0.00747148679952381
"32-33",2020,"Summer",0.0282974970266667,-0.00925238761285714
"33-34",1993,"Summer",0.147910231293333,3.60736319047761e-05
"33-34",1994,"Summer",0.119920912026667,-0.0279532456347619
"33-34",1995,"Summer",0.0881505501866667,-0.0597236074747619
"33-34",1996,"Summer",0.0659830352266667,-0.0818911224347619
"33-34",1997,"Summer",0.0699863989333333,-0.0778877587280952
"33-34",1998,"Summer",0.0994741188,-0.0484000388614286
"33-34",1999,"Summer",0.1433838508,-0.00449030686142857
"33-34",2000,"Summer",0.183168150786667,0.0352939931252381
"33-34",2001,"Summer",0.213395087053333,0.0655209293919048
"33-34",2002,"Summer",0.23328664932,0.0854124916585715
"33-34",2003,"Summer",0.249789890706667,0.101915733045238
"33-34",2004,"Summer",0.268603954146667,0.120729796485238
"33-34",2005,"Summer",0.28078231476,0.132908157098571
"33-34",2006,"Summer",0.282493455173333,0.134619297511905
"33-34",2007,"Summer",0.263500271293333,0.115626113631905
"33-34",2008,"Summer",0.216305773573333,0.0684316159119048
"33-34",2009,"Summer",0.155923381506667,0.00804922384523812
"33-34",2010,"Summer",0.104007227426667,-0.0438669302347619
"33-34",2011,"Summer",0.0774491677866667,-0.0704249898747619
"33-34",2012,"Summer",0.07377806744,-0.0740960902214286
"33-34",2013,"Summer",0.08086968716,-0.0670044705014286
"33-34",2014,"Summer",0.08776940432,-0.0601047533414286
"33-34",2015,"Summer",0.0916396041066667,-0.0562345535547619
"33-34",2016,"Summer",0.0936940840533333,-0.0541800736080952
"33-34",2017,"Summer",0.1002732006,-0.0476009570614286
"33-34",2018,"Summer",0.1107343154,-0.0371398422614286
"33-34",2019,"Summer",0.117236100226667,-0.0306380574347619
"33-34",2020,"Summer",0.120967530413333,-0.0269066272480952
"34-35",1993,"Summer",0.0531168313888889,-0.104208116217262
"34-35",1994,"Summer",0.0230593775092593,-0.134265570096892
"34-35",1995,"Summer",-0.00778530015740741,-0.165110247763558
"34-35",1996,"Summer",-0.0353906282962963,-0.192715575902447
"34-35",1997,"Summer",-0.0490639981666667,-0.206388945772817
"34-35",1998,"Summer",-0.0408451569444444,-0.198170104550595
"34-35",1999,"Summer",-0.00703985322222222,-0.164364800828373
"34-35",2000,"Summer",0.0431542031388889,-0.114170744467262
"34-35",2001,"Summer",0.103374986925926,-0.0539499606802249
"34-35",2002,"Summer",0.162200081092593,0.00487513348644181
"34-35",2003,"Summer",0.215908665981481,0.0585837183753307
"34-35",2004,"Summer",0.267910916268519,0.110585968662368
"34-35",2005,"Summer",0.310436244972222,0.153111297366071
"34-35",2006,"Summer",0.349338076592593,0.192013128986442
"34-35",2007,"Summer",0.379524431462963,0.222199483856812
"34-35",2008,"Summer",0.386084679666667,0.228759732060516
"34-35",2009,"Summer",0.362059142472222,0.204734194866071
"34-35",2010,"Summer",0.314692517657407,0.157367570051257
