"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Summer",-0.171580135594771,-0.0448626036490196
"28-30",1994,"Summer",-0.161577406810458,-0.0348598748647059
"28-30",1995,"Summer",-0.153297087215686,-0.0265795552699346
"28-30",1996,"Summer",-0.142594660673203,-0.015877128727451
"28-30",1997,"Summer",-0.13020837275817,-0.00349084081241829
"28-30",1998,"Summer",-0.118246040352941,0.00847149159281047
"28-30",1999,"Summer",-0.108027678764706,0.0186898531810458
"28-30",2000,"Summer",-0.100367053503268,0.0263504784424837
"28-30",2001,"Summer",-0.0949733466143791,0.0317441853313725
"28-30",2002,"Summer",-0.0906835556928105,0.0360339762529412
"28-30",2003,"Summer",-0.090714252496732,0.0360032794490196
"28-30",2004,"Summer",-0.100363858555556,0.0263536733901961
"28-30",2005,"Summer",-0.115751336647059,0.0109661952986928
"28-30",2006,"Summer",-0.13349873775817,-0.00678120581241828
"28-30",2007,"Summer",-0.148087904921569,-0.021370372975817
"28-30",2008,"Summer",-0.157940773464052,-0.0312232415183006
"28-30",2009,"Summer",-0.160812859385621,-0.0340953274398693
"28-30",2010,"Summer",-0.160055100732026,-0.0333375687862745
"28-30",2011,"Summer",-0.156278117803922,-0.0295605858581699
"28-30",2012,"Summer",-0.148996980588235,-0.0222794486424837
"28-30",2013,"Summer",-0.138712010599346,-0.0119944786535948
"28-30",2014,"Summer",-0.125225426973856,0.00149210497189542
"28-30",2015,"Summer",-0.11274458324183,0.0139729487039216
"28-30",2016,"Summer",-0.104406122339216,0.022311409606536
"28-30",2017,"Summer",-0.100932973777778,0.0257845581679739
"28-30",2018,"Summer",-0.104084272372549,0.0226332595732026
"28-30",2019,"Summer",-0.107942237464052,0.0187752944816993
"28-30",2020,"Summer",-0.109988007379085,0.0167295245666667
"30-31",1993,"Summer",-0.118118800973333,-0.0356551413238143
"30-31",1994,"Summer",-0.11169557992,-0.029231920270481
"30-31",1995,"Summer",-0.104577142,-0.022113482350481
"30-31",1996,"Summer",-0.09271928524,-0.010255625590481
"30-31",1997,"Summer",-0.07883746048,0.00362619916951905
"30-31",1998,"Summer",-0.0652523796533333,0.0172112799961857
"30-31",1999,"Summer",-0.0544943438666667,0.0279693157828524
"30-31",2000,"Summer",-0.0495165871466667,0.0329470725028524
"30-31",2001,"Summer",-0.0498185390933333,0.0326451205561857
"30-31",2002,"Summer",-0.0508527984,0.031610861249519
"30-31",2003,"Summer",-0.0507151335145333,0.0317485261349857
"30-31",2004,"Summer",-0.0547624314133333,0.0277012282361857
"30-31",2005,"Summer",-0.0644154680933333,0.0180481915561857
"30-31",2006,"Summer",-0.078574592,0.00388906764951905
"30-31",2007,"Summer",-0.0945742336133333,-0.0121105739638143
"30-31",2008,"Summer",-0.10806476644,-0.025601106790481
"30-31",2009,"Summer",-0.113490086333333,-0.0310264266838143
"30-31",2010,"Summer",-0.112305658986667,-0.0298419993371476
"30-31",2011,"Summer",-0.10984759636,-0.0273839367104809
"30-31",2012,"Summer",-0.106417071,-0.023953411350481
"30-31",2013,"Summer",-0.101614464946667,-0.0191508052971476
"30-31",2014,"Summer",-0.0956956603333333,-0.0132320006838143
"30-31",2015,"Summer",-0.0894237844666667,-0.00696012481714763
"30-31",2016,"Summer",-0.0821070729066667,0.000356586742852383
"30-31",2017,"Summer",-0.07353357888,0.00893008076951904
"30-31",2018,"Summer",-0.0680821397653333,0.0143815198841857
"30-31",2019,"Summer",-0.0652704634933333,0.0171931961561857
"30-31",2020,"Summer",-0.0642053508666667,0.0182583087828524
"31-32",1993,"Summer",-0.153931317066667,-0.0848913354718571
"31-32",1994,"Summer",-0.136297151133333,-0.0672571695385238
"31-32",1995,"Summer",-0.111884514586667,-0.0428445329918571
"31-32",1996,"Summer",-0.0782683166933333,-0.00922833509852382
"31-32",1997,"Summer",-0.0411531359066667,0.0278868456881429
"31-32",1998,"Summer",-0.00708097225333333,0.0619590093414762
"31-32",1999,"Summer",0.0181330227466667,0.0871730043414762
"31-32",2000,"Summer",0.0312998790133333,0.100339860608143
"31-32",2001,"Summer",0.0312661765066667,0.100306158101476
"31-32",2002,"Summer",0.0251541284666667,0.0941941100614762
"31-32",2003,"Summer",0.0173267846533333,0.0863667662481429
"31-32",2004,"Summer",0.00350019225333333,0.0725401738481429
"31-32",2005,"Summer",-0.0172528918666667,0.0517870897281429
"31-32",2006,"Summer",-0.04381564524,0.0252243363548095
"31-32",2007,"Summer",-0.07071052508,-0.00167054348519048
"31-32",2008,"Summer",-0.095706108468,-0.0266661268731905
"31-32",2009,"Summer",-0.11209857564,-0.0430585940451905
"31-32",2010,"Summer",-0.1180238182,-0.0489838366051905
"31-32",2011,"Summer",-0.118537830693333,-0.0494978490985238
"31-32",2012,"Summer",-0.117098171146667,-0.0480581895518571
"31-32",2013,"Summer",-0.116680783893333,-0.0476408022985238
"31-32",2014,"Summer",-0.117739045106667,-0.0486990635118571
"31-32",2015,"Summer",-0.117955744026667,-0.0489157624318571
"31-32",2016,"Summer",-0.114282166613333,-0.0452421850185238
"31-32",2017,"Summer",-0.105412709853333,-0.0363727282585238
"31-32",2018,"Summer",-0.0973583263466667,-0.0283183447518571
"31-32",2019,"Summer",-0.0883132099733333,-0.0192732283785238
"31-32",2020,"Summer",-0.0801987085066667,-0.0111587269118571
"32-33",1993,"Summer",-0.0250556304933333,-0.0237890173149757
"32-33",1994,"Summer",-0.02735727636,-0.0260906631816424
"32-33",1995,"Summer",-0.0252764955224,-0.0240098823440424
