"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Winter",0.279753906764706,0.0564722261885154
"28-30",1994,"Winter",0.287179276915033,0.0638975963388422
"28-30",1995,"Winter",0.298004166339869,0.0747224857636788
"28-30",1996,"Winter",0.307584308686275,0.084302628110084
"28-30",1997,"Winter",0.311859392581699,0.0885777120055089
"28-30",1998,"Winter",0.309965055627451,0.0866833750512605
"28-30",1999,"Winter",0.304803828588235,0.0815221480120448
"28-30",2000,"Winter",0.298461497705882,0.0751798171296919
"28-30",2001,"Winter",0.301945205346405,0.0786635247702148
"28-30",2002,"Winter",0.312625883150327,0.0893442025741363
"28-30",2003,"Winter",0.322603837124183,0.0993221565479925
"28-30",2004,"Winter",0.327055677019608,0.103773996443417
"28-30",2005,"Winter",0.319465110601307,0.0961834300251167
"28-30",2006,"Winter",0.302276671836601,0.0789949912604108
"28-30",2007,"Winter",0.281313376777778,0.0580316962015873
"28-30",2008,"Winter",0.259278288183007,0.0359966076068161
"28-30",2009,"Winter",0.238502403326797,0.0152207227506069
"28-30",2010,"Winter",0.214403193823529,-0.00887848675266106
"28-30",2011,"Winter",0.18650439720915,-0.0367772833670401
"28-30",2012,"Winter",0.152470003823529,-0.0708116767526611
"28-30",2013,"Winter",0.11933603375817,-0.103945646818021
"28-30",2014,"Winter",0.0921173717431372,-0.131164308833053
"28-30",2015,"Winter",0.0757515142398693,-0.147530166336321
"28-30",2016,"Winter",0.0697512251176471,-0.153530455458543
"28-30",2017,"Winter",0.0698969166013072,-0.153384763974883
"28-30",2018,"Winter",0.0707138394901961,-0.152567841085994
"28-30",2019,"Winter",0.0696362976928105,-0.15364538288338
"28-30",2020,"Winter",0.0686283760588235,-0.154653304517367
"30-31",1993,"Winter",0.263687728506667,0.0700110309019047
"30-31",1994,"Winter",0.26933381436,0.0756571167552381
"30-31",1995,"Winter",0.273361467133333,0.0796847695285714
"30-31",1996,"Winter",0.275282003706667,0.0816053061019048
"30-31",1997,"Winter",0.27586247456,0.0821857769552381
"30-31",1998,"Winter",0.27413925648,0.0804625588752381
"30-31",1999,"Winter",0.269835536253333,0.0761588386485714
"30-31",2000,"Winter",0.261272895786667,0.0675961981819048
