"Latitude","Year","Season","AvgUp","Anomaly"
"28-30",1993,"Winter",0.118868111973856,0.105439642848529
"28-30",1994,"Winter",0.122153215333333,0.108724746208007
"28-30",1995,"Winter",0.120630211830065,0.107201742704739
"28-30",1996,"Winter",0.118468424934641,0.105039955809314
"28-30",1997,"Winter",0.116687927398693,0.103259458273366
"28-30",1998,"Winter",0.116155074509804,0.102726605384477
"28-30",1999,"Winter",0.109960025366013,0.0965315562406863
"28-30",2000,"Winter",0.0975276905490196,0.0840992214236928
"28-30",2001,"Winter",0.0868250245751634,0.0733965554498366
"28-30",2002,"Winter",0.0706174634901961,0.0571889943648693
"28-30",2003,"Winter",0.0540920853006536,0.0406636161753268
"28-30",2004,"Winter",0.0373495684444444,0.0239210993191177
"28-30",2005,"Winter",0.0195973899019608,0.00616892077663399
"28-30",2006,"Winter",0.000409062150326797,-0.013019406975
"28-30",2007,"Winter",-0.0170807636535948,-0.0305092327789216
"28-30",2008,"Winter",-0.0334217289869281,-0.0468501981122549
"28-30",2009,"Winter",-0.0485375285816993,-0.0619659977070261
"28-30",2010,"Winter",-0.0623738926862745,-0.0758023618116013
"28-30",2011,"Winter",-0.0694384620915033,-0.0828669312168301
"28-30",2012,"Winter",-0.0678081387346405,-0.0812366078599673
"28-30",2013,"Winter",-0.0657848206601307,-0.0792132897854575
"28-30",2014,"Winter",-0.0682894639803922,-0.081717933105719
"28-30",2015,"Winter",-0.0713693304248366,-0.0847977995501634
"28-30",2016,"Winter",-0.0704175369346405,-0.0838460060599673
"28-30",2017,"Winter",-0.0675144105098039,-0.0809428796351307
"28-30",2018,"Winter",-0.0631105355928105,-0.0765390047181373
"28-30",2019,"Winter",-0.0568569362026144,-0.0702854053279412
"28-30",2020,"Winter",-0.0513405912091503,-0.0647690603344771
"30-31",1993,"Winter",0.132570430626667,0.111298187037037
"30-31",1994,"Winter",0.136283149973333,0.115010906383703
"30-31",1995,"Winter",0.13428882172,0.11301657813037
"30-31",1996,"Winter",0.12804651452,0.10677427093037
"30-31",1997,"Winter",0.120372802026667,0.0991005584370367
"30-31",1998,"Winter",0.11200925316,0.09073700957037
"30-31",1999,"Winter",0.0998479607866667,0.0785757171970367
"30-31",2000,"Winter",0.0797836730281333,0.0585114294385033
"30-31",2001,"Winter",0.0551231351066667,0.0338508915170367
"30-31",2002,"Winter",0.0288451358533333,0.00757289226370333
"30-31",2003,"Winter",0.00587623954666667,-0.0153960040429633
"30-31",2004,"Winter",-0.0137139420266667,-0.0349861856162967
"30-31",2005,"Winter",-0.0309389213333333,-0.0522111649229633
"30-31",2006,"Winter",-0.0466287184266667,-0.0679009620162967
"30-31",2007,"Winter",-0.0579177251466667,-0.0791899687362967
"30-31",2008,"Winter",-0.0641542279746667,-0.0854264715642967
"30-31",2009,"Winter",-0.0643830455144933,-0.0856552891041233
"30-31",2010,"Winter",-0.0618545302693333,-0.0831267738589633
"30-31",2011,"Winter",-0.05592941516,-0.07720165874963
