"Winter","Spring","Summer","Fall"
-4.28783266077112e-16,0,-4.28753357051664e-16,-1.22504283866251e-15
1.47006224841673e-15,-4.90001433226643e-16,-7.96324063921517e-16,1.71508820077028e-15
-1.47004355527583e-15,-8.5751419135969e-16,-1.83768529608112e-16,1.65386442567847e-15
9.18835170784198e-16,-5.51313066080698e-16,-6.73685843700683e-16,-1.40893848162877e-15
8.57502975475147e-16,-3.06328238637146e-16,-3.06320761380784e-16,3.06317490081125e-16
4.28768311564388e-16,-2.44999781956276e-16,-5.5132054333706e-16,-6.12761158863359e-17
4.90001433226643e-16,-5.51292503625703e-16,-2.44999781956276e-16,1.22499890978138e-16
1.77635683940025e-15,-3.67508084847821e-16,1.83757781052092e-16,9.80049599305548e-16
-1.04134814696097e-15,7.35000747854396e-16,4.28772050192569e-16,-1.22545477415118e-16
7.3500682312519e-16,-5.51346713734327e-16,4.28742141167121e-16,7.9633527980606e-16
1.77635683940025e-15,-5.51235489545943e-16,6.73704536841588e-16,6.73683974386592e-16
-4.89999563912552e-16,7.34999345868828e-16,4.89999563912552e-16,2.45030158310247e-16
1.10257192205277e-15,1.22492647386037e-16,4.90005171854824e-16,1.65384199390939e-15
9.1884264804056e-16,-1.83757781052092e-16,6.73771832148845e-16,6.12510670775233e-16
8.57516060673781e-16,-6.73805976339029e-16,3.06313284124422e-16,-3.67500490759329e-16
-3.67503411562595e-16,3.67507909599625e-16,6.13247180526887e-17,-3.67499672934414e-16
6.73743792437488e-16,-1.22604572567206e-16,2.45029690981724e-16,1.22559709029034e-16
-1.47001364625038e-15,-5.51193429978907e-16,-4.89999563912552e-16,4.90000498569597e-16
9.18848255982832e-16,-2.45000716613321e-16,4.28760834308026e-16,-8.57532884500595e-16
-6.12798545145169e-17,3.06318599986367e-16,6.13135021681458e-17,-6.73809218430655e-16
-9.80036514106914e-16,3.6750434621964e-16,3.06324500008965e-16,1.16381812891366e-15
-6.12525625287957e-16,-2.45001183941844e-16,-1.22590085383004e-16,1.0413425390187e-15
-3.675221047035e-16,-4.90001433226643e-16,6.1246206860888e-17,-4.90005171854824e-16
1.40892446177309e-15,-3.06317022752603e-16,-6.12656477274292e-16,-8.57390816629718e-16
-6.73726968610673e-16,-4.28753357051664e-16,-6.73708275469769e-16,-2.45104930873866e-16
-1.83757313723569e-16,-6.12874486030095e-17,-6.1268638629974e-17,1.59264812784303e-15
-1.22514845490862e-16,-8.57523304265881e-16,-7.96327802549698e-16,1.47006598704491e-15
-4.90010779797095e-16,-3.0626655127216e-16,5.51331759221603e-16,1.83783484120836e-16
7.35019908323824e-16,-3.67504170971444e-16,-7.35090942259263e-16,-1.71506950762937e-15
-7.96352103632874e-16,6.12577031425446e-16,-5.51236424202988e-16,-2.45000249284799e-16
1.2863572754877e-15,-2.45179236108963e-16,-6.12665823844744e-16,-1.16373027115141e-15
-9.18825824213746e-16,-4.2875803033689e-16,7.96353972946965e-16,5.51321477994105e-16
4.90002367883688e-16,-2.45001183941844e-16,-3.67515328439922e-16,2.45075489176941e-16
1.83742359210845e-16,-1.83753575095388e-16,1.83678802531768e-16,-3.06352539720322e-16
-1.04135585788159e-15,-3.67508785840605e-16,-8.57598310493763e-16,-1.34756983469496e-15
3.67462286652604e-16,6.12627970234412e-16,-3.06351137734754e-16,2.45074554519896e-16
1.83720394770282e-16,1.22560176357556e-16,-3.67411815172161e-16,-1.8372366606994e-16
7.96314483686803e-16,-2.45000249284799e-16,4.90015453082321e-16,0
6.12551795685224e-16,-6.12584508681808e-16,6.1268638629974e-17,-6.1257422745431e-16
4.28735598567805e-16,8.57531015186505e-16,7.35001215182919e-16,-6.73750802365327e-16
-9.80029036850552e-16,-2.44984827443552e-16,-4.2873840253894e-16,-1.2258214079812e-16
3.06328238637146e-16,-1.22537277259948e-16,-3.06358147662594e-16,-1.22627004336292e-16
-7.96346495690603e-16,7.35008809271412e-16,-4.28730925282578e-16,0
4.28768311564388e-16,3.6755949098531e-16,-4.90001433226643e-16,-1.77635683940025e-15
-6.12508801461143e-16,-7.35016169695643e-16,7.35010561753371e-16,-3.67499672934414e-16
1.28635540617361e-15,3.67537059216224e-16,6.1251721337455e-16,-1.10255509822596e-15
-6.12538710486591e-16,-7.96322194607427e-16,-3.675221047035e-16,9.1880339244466e-16
5.5131867402297e-16,-6.12529363916138e-16,-6.12985476554218e-17,-6.12948090272408e-17
-1.40882725744039e-15,-2.44999781956276e-16,-3.06328238637146e-16,-1.22552231772672e-16
6.1264900001793e-17,-2.45002118598889e-16,-3.67499672934414e-16,9.18797784502388e-16
-8.57521668616052e-16,7.35017338016949e-16,-6.12515344060459e-16,-3.67493831327881e-16
1.47007159498719e-15,8.57521668616052e-16,-2.44999781956276e-16,-3.675221047035e-16
4.28772050192569e-16,-5.51309327452517e-16,-6.12985476554218e-17,-1.8372366606994e-16
6.12723772581549e-17,5.51294840268316e-16,7.350049538111e-16,-1.83697495672673e-16
7.96301632152431e-16,0,-7.96309109408793e-16,-6.73754540993508e-16
-6.73749400379759e-16,-3.67516496761229e-16,8.57506714103328e-16,1.04133506176234e-15
-6.12504595504439e-16,-7.35023413287743e-16,3.06320761380784e-16,-1.53135705744397e-15
-6.73768093520664e-16,-8.57510452731509e-16,-3.67492195678052e-16,-1.59263691195849e-15
0,-5.51321003363574e-16,7.35006355796668e-16,-5.51303003913445e-16
-3.06291319683859e-16,-1.83768996936635e-16,-7.35014300381552e-16,-4.28715970769854e-16
-3.06289917698291e-16,-6.12544668925254e-16,1.22582608126642e-16,6.12614300875125e-16
4.28772984849614e-16,-5.51310262109562e-16,-7.96323830257256e-16,-5.51312365087914e-16
6.73784917347479e-16,7.96312848036974e-16,-2.45000716613321e-16,-1.47005687413872e-15
-7.350049538111e-16,-6.12504128175917e-16,6.1250646481853e-16,7.35030890544105e-16
-1.65385694842211e-15,6.1264900001793e-17,2.45000716613321e-16,-7.35021777637914e-16
-6.12520017345686e-16,-8.57506714103328e-16,6.7379052528975e-16,-6.125368411725e-16
-6.73807349116565e-16,6.7380127384577e-16,-1.22499890978138e-16,7.9633527980606e-16
7.96309109408793e-16,-7.96316586665155e-16,7.35014300381552e-16,-3.67487522392826e-16
7.96324063921517e-16,0,3.06313284124422e-16,1.83731143326302e-16
5.51294372939793e-16,-6.12913040633212e-17,-3.67480979793509e-16,-7.34999345868828e-16
7.350049538111e-16,-6.13210962566384e-17,-1.83716188813578e-16,2.44999781956276e-16
-7.96309109408793e-16,-3.06279636470793e-16,-6.73775570777026e-16,-1.47002579679197e-15
-1.22514845490862e-16,-2.45000307700864e-16,7.35046078721091e-16,-5.51335497849784e-16
-1.04133880039052e-15,4.28708493513492e-16,-2.44999781956276e-16,4.28698212285995e-16
6.73805479802474e-16,1.8376105235175e-16,6.73786786661569e-16,-7.96327568885437e-16
6.13135021681458e-17,8.57590774821335e-16,7.35008692439281e-16,5.5134017113501e-16
-4.28760834308026e-16,-4.2877578882075e-16,-1.22499890978138e-16,1.10257238938129e-15
7.96324063921517e-16,-6.12910703990599e-17,0,1.47004355527583e-15
8.57574009410586e-16,6.73798002546112e-16,7.96320325293336e-16,8.57491759590604e-16
-3.67499672934414e-16,7.96305370780612e-16,4.28768311564388e-16,2.44999781956276e-16
6.12514409403414e-16,-1.83738620582664e-16,4.28783266077112e-16,6.7379052528975e-16
4.28787939362338e-16,-3.06287113727155e-16,-4.28783266077112e-16,1.40890880626759e-15
4.89999563912552e-16,-1.8376105235175e-16,2.44999781956276e-16,-1.65385694842211e-15
7.35008370238171e-16,0,-1.83731143326302e-16,1.10267333234218e-15
-1.34760722097677e-15,-1.22597095310844e-16,6.12985476554218e-17,-1.22597562639366e-16
-7.35025516266095e-16,6.12948090272408e-17,2.45001242357909e-16,-1.40888707549128e-15
-3.06290385026813e-16,-4.90004237197779e-16,3.06337585207598e-16,4.89999563912552e-16
3.67499672934414e-16,8.57521668616052e-16,-1.83731143326302e-16,1.22544988180571e-16
1.65378194219423e-15,-4.28757095679845e-16,7.96348365004694e-16,2.45000249284799e-16
4.28760834308026e-16,-8.57529145872414e-16,0,-3.06324500008965e-16
1.77635683940025e-15,6.73805479802474e-16,3.67514627447138e-16,-6.12551795685224e-16
6.12761158863359e-17,-4.90008910483005e-16,-1.2254475451631e-16,1.10253640508505e-15
8.57519799301962e-16,-6.125368411725e-17,8.57532767668465e-16,-6.13359339372317e-17
-3.06264681958069e-16,-6.1257422745431e-17,3.06314861358186e-16,1.71508072351391e-15
1.83708711557216e-16,5.51342975106146e-16,-2.45014736469e-16,-1.59262569607395e-15
0,3.67503411562595e-16,3.67516496761229e-16,9.80029270514814e-16
-8.57531015186505e-16,7.35023179623482e-16,7.35014300381552e-16,1.8376105235175e-16
7.35021543973653e-16,0,3.062880483842e-16,6.12525975784349e-16
-7.96327802549698e-16,-2.45003520584457e-16,5.51291568968657e-16,8.57523537930143e-16
-5.51286895683431e-16,6.73794263917931e-16,3.06275897842612e-16,-7.96312848036974e-16
4.28760834308026e-16,1.22499890978138e-16,3.06287113727155e-16,7.96327802549698e-16
7.96309109408793e-16,-6.12835931426979e-17,-1.83731610654825e-16,-5.51308392795472e-16
4.90019191710502e-16,1.83761519680273e-16,3.06275897842612e-16,4.90000498569597e-16
3.67499672934414e-16,6.1251195592867e-16,6.1250833413262e-16,7.35014300381552e-16
-4.28783266077112e-16,-6.12514409403414e-16,-5.51324281965241e-16,-3.06313284124422e-16
7.35012431067462e-16,7.35010561753371e-16,7.35017338016949e-16,6.73771832148845e-16
3.0627729982818e-16,-7.9629789352425e-16,6.12519082688641e-16,1.34757731195132e-15
-2.45001183941844e-16,-5.5132241265115e-16,-6.13471498217746e-17,1.04135422223176e-15
-4.90020126367548e-16,7.96312848036974e-16,-1.8374329386789e-16,-1.16384009335422e-15
-3.67507150190776e-16,-4.28772984849614e-16,1.8376105235175e-16,1.10256444479641e-15
6.125368411725e-17,-5.51278717434285e-16,-6.12518148031595e-16,-1.65384199390939e-15
-8.57516060673781e-16,1.8376105235175e-16,7.35019674659562e-16,1.22515079155123e-16
-7.35006472628798e-16,-4.28768311564388e-16,-8.57568401468315e-16,-9.18788437931936e-16
-3.06287113727155e-16,4.90018257053457e-16,5.51286895683431e-16,-5.5132054333706e-16
-2.44999781956276e-16,-5.5131867402297e-16,4.90000498569597e-16,-7.96346495690603e-16
-1.47006224841673e-15,5.51342975106146e-16,-1.2258214079812e-16,-1.22545221844832e-16
-1.22515312819385e-16,-3.67560425642355e-16,-1.22503629606319e-15,4.90005171854824e-16
-5.5131867402297e-16,-3.06313284124422e-16,6.73760616264302e-16,-1.83734881954483e-16
-1.34760722097677e-15,3.67507150190776e-16,-1.53132714841853e-15,-3.67462286652604e-16
4.2877578882075e-16,7.35014300381552e-16,-5.51328020593422e-16,-3.0631468610999e-16
-4.28780403689911e-16,-4.90003302540733e-16,1.22575598198803e-16,9.18790307246026e-16
3.67566968241672e-16,8.57529145872414e-16,0,6.73807349116565e-16
-5.51296242253884e-16,-7.350049538111e-16,-2.44999781956276e-16,1.83757313723569e-16
1.40887866357788e-15,-5.51328955250467e-16,-6.12948090272408e-17,-4.89999563912552e-16
-7.96346495690603e-16,7.96352103632874e-16,2.44999781956276e-16,6.73755008322031e-16
-6.13135021681458e-17,-7.35014300381552e-16,-1.83678802531768e-16,8.57562793526043e-16
-1.34762404480358e-15,-4.28719709398035e-16,-6.73685843700683e-16,1.2250138642941e-15
-6.1264900001793e-17,-4.28768311564388e-16,1.22492413721776e-16,-2.44999781956276e-16
-4.28753357051664e-16,-1.22499890978138e-16,-1.16384056068275e-15,4.90015453082321e-16
3.06278000820964e-16,-7.96324063921517e-16,1.16382186754184e-15,8.57531015186505e-16
1.65385648109359e-15,3.06310947481809e-16,3.06309545496241e-16,7.35003084497009e-16
-7.35011963738939e-16,-3.67552013728948e-16,-1.40885716646584e-15,-1.47001364625038e-15
1.28634419028906e-15,7.35006355796668e-16,6.73794263917931e-16,-1.34759507043518e-15
4.28735598567805e-16,-1.22537277259948e-16,-1.83749836467207e-16,-9.18850125296922e-16
-5.51326151279331e-16,-1.7150581749127e-15,-8.57532884500595e-16,-1.22504283866251e-15
-1.16384803793911e-15,1.83765725636976e-16,2.45015671126045e-16,1.22505966248932e-15
-7.96286677639707e-16,1.83757781052092e-16,1.59260279697634e-15,1.22506433577455e-15
1.16384675278567e-15,7.96320325293336e-16,-1.47004729390401e-15,3.67499672934414e-16
-1.47011085058309e-15,2.45000716613321e-16,1.47005850978855e-15,-1.71507324625755e-15
-1.5925957870485e-15,-8.57521668616052e-16,-6.73786786661569e-16,1.470088418814e-15
-4.28728121311443e-16,-4.89999563912552e-16,-5.51290634311612e-16,-1.59256587802305e-15
-1.2250549892041e-15,-8.57536623128776e-16,4.89999563912552e-16,7.35029254894276e-16
-1.10257005273868e-15,-3.67499672934414e-16,0,-1.53135705744397e-15
-9.18844517354651e-16,-7.96331541177879e-16,-2.44999781956276e-16,2.44999781956276e-16
