,AMO,MEI,NAO
1973,-0.386,NA,0.04
1973.08333333333,-0.406,NA,0.85
1973.16666666667,-0.357,NA,0.3
1973.25,-0.277,NA,-0.54
1973.33333333333,-0.182,NA,-0.44
1973.41666666667,-0.188,NA,0.39
1973.5,-0.116,NA,0.57
1973.58333333333,-0.146,NA,-0.06
1973.66666666667,-0.144,NA,-0.3
1973.75,-0.228,NA,-1.24
1973.83333333333,-0.222,NA,-0.93
1973.91666666667,-0.251,NA,0.32
1974,-0.288,NA,1.34
1974.08333333333,-0.296,NA,-0.14
1974.16666666667,-0.414,NA,-0.03
1974.25,-0.536,NA,0.51
1974.33333333333,-0.513,NA,-0.24
1974.41666666667,-0.46,NA,-0.14
1974.5,-0.527,NA,-0.76
1974.58333333333,-0.48,NA,-0.64
1974.66666666667,-0.518,NA,0.82
1974.75,-0.52,NA,0.49
1974.83333333333,-0.438,NA,-0.54
1974.91666666667,-0.373,NA,1.5
1975,-0.285,NA,0.58
1975.08333333333,-0.351,NA,-0.62
1975.16666666667,-0.322,NA,-0.61
1975.25,-0.358,NA,-1.6
1975.33333333333,-0.401,NA,-0.52
1975.41666666667,-0.308,NA,-0.84
1975.5,-0.284,NA,1.55
1975.58333333333,-0.198,NA,-0.26
1975.66666666667,-0.349,NA,1.56
1975.75,-0.366,NA,-0.54
1975.83333333333,-0.354,NA,0.41
1975.91666666667,-0.335,NA,0
1976,-0.397,NA,-0.25
1976.08333333333,-0.454,NA,0.93
1976.16666666667,-0.506,NA,0.75
1976.25,-0.439,NA,0.26
1976.33333333333,-0.501,NA,0.96
1976.41666666667,-0.496,NA,0.8
1976.5,-0.32,NA,-0.32
1976.58333333333,-0.198,NA,1.92
1976.66666666667,-0.206,NA,-1.29
1976.75,-0.306,NA,-0.08
1976.83333333333,-0.429,NA,0.17
1976.91666666667,-0.445,NA,-1.6
1977,-0.402,NA,-1.04
1977.08333333333,-0.346,NA,-0.49
1977.16666666667,-0.196,NA,-0.81
1977.25,-0.23,NA,0.65
1977.33333333333,-0.183,NA,-0.86
1977.41666666667,-0.12,NA,-0.57
1977.5,-0.119,NA,-0.45
1977.58333333333,-0.158,NA,-0.28
1977.66666666667,-0.245,NA,0.37
1977.75,-0.237,NA,0.52
1977.83333333333,-0.156,NA,-0.07
1977.91666666667,-0.217,NA,-1
1978,-0.119,NA,0.66
1978.08333333333,-0.16,NA,-2.2
1978.16666666667,-0.171,NA,0.7
1978.25,-0.208,NA,-1.17
1978.33333333333,-0.217,NA,1.08
1978.41666666667,-0.345,NA,1.38
1978.5,-0.289,NA,-1.14
1978.58333333333,-0.239,NA,0.64
1978.66666666667,-0.202,NA,0.46
1978.75,-0.22,NA,1.93
1978.83333333333,-0.132,NA,3.04
1978.91666666667,-0.195,NA,-1.57
1979,-0.205,0.47,-1.38
1979.08333333333,-0.164,0.26,-0.67
1979.16666666667,-0.24,-0.08,0.78
1979.25,-0.249,0.2,-1.71
1979.33333333333,-0.13,0.27,-1.03
1979.41666666667,-0.054,-0.15,1.6
1979.5,-0.107,-0.14,0.83
1979.58333333333,-0.127,0.44,0.96
1979.66666666667,-0.122,0.38,1.01
1979.75,-0.1,0.24,-0.3
1979.83333333333,-0.097,0.52,0.53
1979.91666666667,-0.072,0.65,1
1980,-0.014,0.35,-0.75
1980.08333333333,-0.09,0.19,0.05
1980.16666666667,-0.151,0.41,-0.31
1980.25,-0.013,0.59,1.29
1980.33333333333,0.117,0.55,-1.5
1980.41666666667,0.096,0.62,-0.37
1980.5,0.038,0.62,-0.42
1980.58333333333,0.011,0.15,-2.24
1980.66666666667,-0.02,0.2,0.66
1980.75,-0.073,0.09,-1.77
1980.83333333333,-0.209,-0.03,-0.37
1980.91666666667,-0.261,-0.06,0.78
1981,-0.189,-0.33,0.37
1981.08333333333,-0.188,-0.24,0.92
1981.16666666667,-0.006,0.33,-1.19
1981.25,-0.103,0.41,0.36
1981.33333333333,-0.091,-0.27,0.2
1981.41666666667,-0.069,-0.6,-0.45
1981.5,-0.102,-0.51,0.05
1981.58333333333,-0.122,-0.31,0.39
1981.66666666667,-0.043,-0.01,-1.45
1981.75,-0.194,-0.1,-1.35
1981.83333333333,-0.144,-0.22,-0.38
1981.91666666667,-0.014,-0.16,-0.02
1982,-0.088,-0.38,-0.89
1982.08333333333,-0.086,-0.47,1.15
1982.16666666667,-0.088,-0.28,1.15
1982.25,-0.19,-0.34,0.1
1982.33333333333,-0.199,-0.03,-0.53
1982.41666666667,-0.192,0.78,-1.63
1982.5,-0.236,1.79,1.15
1982.58333333333,-0.316,2.02,0.26
1982.66666666667,-0.315,1.81,1.76
1982.75,-0.379,1.93,-0.74
1982.83333333333,-0.424,2.28,1.6
1982.91666666667,-0.388,2.48,1.78
1983,-0.306,2.57,1.59
1983.08333333333,-0.111,2.74,-0.53
1983.16666666667,0.074,2.68,0.95
1983.25,0.052,2.79,-0.85
1983.33333333333,-0.056,2.89,-0.07
1983.41666666667,-0.062,2.02,0.99
1983.5,-0.023,0.75,1.19
1983.58333333333,-0.166,-0.11,1.61
1983.66666666667,-0.223,-0.41,-1.12
1983.75,-0.203,-0.43,0.65
1983.83333333333,-0.166,-0.43,-0.98
1983.91666666667,-0.011,-0.43,0.29
1984,-0.114,-0.5,1.66
1984.08333333333,-0.096,-0.52,0.72
1984.16666666667,-0.133,-0.11,-0.37
1984.25,-0.165,0.09,-0.28
1984.33333333333,-0.174,-0.47,0.54
1984.41666666667,-0.332,-0.72,-0.42
1984.5,-0.274,-0.31,-0.07
1984.58333333333,-0.233,-0.15,1.15
1984.66666666667,-0.217,-0.11,0.17
1984.75,-0.352,-0.15,-0.07
1984.83333333333,-0.432,-0.58,-0.06
1984.91666666667,-0.326,-0.31,0
1985,-0.362,-0.25,-1.61
1985.08333333333,-0.337,-0.58,-0.49
1985.16666666667,-0.364,-0.6,0.2
1985.25,-0.409,-0.76,0.32
1985.33333333333,-0.345,-1.22,-0.49
1985.41666666667,-0.136,-0.57,-0.8
1985.5,-0.161,-0.02,1.22
1985.58333333333,-0.29,-0.37,-0.48
1985.66666666667,-0.256,-0.44,-0.52
1985.75,-0.253,-0.04,0.9
1985.83333333333,-0.303,0,-0.67
1985.91666666667,-0.345,-0.34,0.22
1986,-0.351,-0.36,1.11
1986.08333333333,-0.284,-0.3,-1
1986.16666666667,-0.301,-0.39,1.71
1986.25,-0.333,-0.52,-0.59
1986.33333333333,-0.237,-0.18,0.85
1986.41666666667,-0.27,0.12,1.22
1986.5,-0.257,0.56,0.12
1986.58333333333,-0.281,1.05,-1.09
1986.66666666667,-0.228,1.31,-1.12
1986.75,-0.327,0.57,1.55
1986.83333333333,-0.406,0.65,2.29
1986.91666666667,-0.38,1.06,0.99
1987,-0.286,0.98,-1.15
1987.08333333333,-0.226,1.08,-0.73
1987.16666666667,-0.041,1.47,0.14
1987.25,0.02,1.66,2
1987.33333333333,0.059,1.91,0.98
1987.41666666667,0.194,2.02,-1.82
1987.5,0.271,1.92,0.52
1987.58333333333,0.271,1.48,-0.83
1987.66666666667,0.185,1.23,-1.22
1987.75,0.038,1.13,0.14
1987.83333333333,-0.079,0.85,0.18
1987.91666666667,0.034,0.75,0.32
1988,-0.051,0.59,1.02
1988.08333333333,-0.126,0.31,0.76
1988.16666666667,-0.02,0.19,-0.17
1988.25,0.041,-0.01,-1.17
1988.33333333333,0.127,-0.36,0.63
1988.41666666667,0.154,-1.19,0.88
1988.5,0.098,-1.77,-0.35
1988.58333333333,-0.02,-1.79,0.04
1988.66666666667,-0.107,-1.77,-0.99
1988.75,-0.183,-1.54,-1.08
1988.83333333333,-0.16,-1.61,-0.34
1988.91666666667,-0.176,-1.49,0.61
1989,-0.233,-1.09,1.17
1989.08333333333,-0.169,-1.06,2
1989.16666666667,-0.266,-1.2,1.85
1989.25,-0.302,-1.09,0.28
1989.33333333333,-0.159,-1.04,1.38
1989.41666666667,0.078,-1.02,-0.27
1989.5,0.164,-1.12,0.97
1989.58333333333,0.1,-0.73,0.01
1989.66666666667,-0.107,-0.61,2.05
1989.75,-0.136,-0.56,-0.03
1989.83333333333,-0.163,-0.33,0.16
1989.91666666667,-0.166,-0.02,-1.15
1990,-0.312,0.12,1.04
1990.08333333333,-0.175,0.43,1.41
