"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8"
"Bottom.Temp.Fall",0.2442025982296,0.142883539872943,0.456699182256158,0.00483819769414667,0.213096897048,0.390276495970927,0.191727041593965,0.0855351794487386
"Bottom.Temp.Spring",0.358675973880265,-0.0435225554416984,0.00587559657109452,-0.490065969747298,0.14021453333108,-0.309300352817374,-0.238174126618428,0.242938261664996
"Bottom.Temp.Summer",0.555878942547131,0.531303914819195,-0.446811110931502,0.062889314835161,0.0745414455890771,0.126671470070192,-0.0724833280597349,0.0160069662419371
"Bottom.Temp.Winter",0.348095260554146,-0.263373846322402,0.0372487016964939,0.134131298229233,-0.0285335211925086,-0.190069990488268,0.301999320441315,-0.0822113434102014
"Mixed.Layer.Fall",0.000524712959443789,-0.000700795072914033,-0.0148211077248371,-0.00775545513816555,-0.0178272743441587,-0.00860162685787191,0.024894245130537,0.050352606103471
"Mixed.Layer.Spring",0.0218265162297832,-0.044873642757093,-0.0301086557154632,0.00482655838693235,0.0080499619643284,0.0162427296913246,-0.0501932396745356,0.0243066455486501
"Mixed.Layer.Summer",0.0170605516988196,0.000702232373287469,-0.0067453250016435,-0.00725753244645314,-0.0130585567143027,0.0107519237885552,-0.00112169889566092,-0.0391801070612242
"Mixed.Layer.Winter",-0.000550983164557015,-0.029178199462846,-0.0123297091386949,-0.00417911622864099,0.0155327428341161,0.0469051569003247,0.00810518161213223,0.00868517373992959
"Salinity.Fall",0.0220038624412522,-0.0586748714533569,-0.0716234697074406,-0.114430567670537,-0.412108089681957,-0.0556342960784809,0.208148523591869,0.772012285729623
"Salinity.Spring",0.100591221310014,-0.282295519557718,-0.275509372237074,-0.20736839409957,-0.262253435798192,0.389888302890744,-0.20547269658519,-0.175033346999766
"Salinity.Summer",0.0719699389628637,-0.0783554013631815,0.0438182751519508,-0.284091588702843,-0.533506478086178,0.220962515565736,0.374491582587406,-0.283778274720307
"Salinity.Winter",0.0180082545767431,-0.3350199772652,-0.248506504012652,-0.0133301233402441,0.231853066089582,0.553950316749162,-0.219375163356088,0.170534914051766
"SSH.Fall",0.0177193161642955,0.00775755650527273,0.0300016220705405,-0.0193069879820361,0.00502321078246847,0.0359629207790436,0.0690402527996273,0.0183526821825166
"SSH.Spring",0.0141808248581485,-0.00843911406886689,0.00766666581638764,-0.00574592220786693,-0.00244884504808048,-0.0325670829884231,0.000629532705236259,0.0343919863501081
"SSH.Summer",0.0172869123659813,0.0173816106202067,-0.00854830763255721,-0.0194130613909996,0.00452859826596598,0.00655121199024411,0.0127797834917808,0.00224614874601916
"SSH.Winter",0.0165545501900284,0.00388143905724627,0.0061214165467356,0.00802989150882205,-0.012385274988075,-0.0298938223403422,0.0468931508222539,-0.0230038617214982
"SST.Fall",0.179117124714018,0.0334333200294516,0.56403513627699,0.245764472183646,-0.143555238124165,0.286358552940407,-0.289954101038718,0.204265489713363
"SST.Spring",0.196340891221395,-0.00720595384349746,0.306239825620854,-0.450048396512202,-0.151009128379486,-0.14523268497959,-0.381354383884461,-0.249241177566718
"SST.Summer",0.202121899726783,0.265895642965013,-0.0787541448418033,0.327942789224707,-0.457124912104993,-0.0110799831513267,-0.093095709245527,-0.0649148214845994
"SST.Winter",0.471824574703417,-0.557788853729227,-0.0100592739527256,0.323691182201667,0.0902886372067772,-0.190727888980816,0.0752498490575245,-0.0637663381975662
"deepGulf.Fall",-0.0914230846497436,-0.0722623702158251,-0.104401348605217,0.213843940545129,-0.149311262742985,-0.12751784628707,-0.361942577180627,-0.00329404574338077
"deepGulf.Spring",-0.0712817720488899,-0.0648169635525553,0.0265938753920844,0.1020353159333,-0.132995901876605,-0.0111236073842911,-0.10736391138611,0.054184331751854
"deepGulf.Summer",-0.0596330779523998,-0.0769987536651712,0.0159611463287984,0.183108649098659,-0.171725319111463,-0.050982038672583,-0.166135387421942,-0.0872062683086414
"deepGulf.Winter",-0.102663760596013,-0.079090748214896,-0.036049976156758,0.0563592282873415,-0.108567458249543,-0.041526905738121,-0.295595908043768,0.141407451871417
"surfGulf.Fall",0.0115552855547804,-0.00637173060973556,-0.0131195188281556,0.0499523508993033,0.00881302484087966,-0.0198259424871887,-0.00210771992258884,0.0628771907765128
"surfGulf.Spring",-0.00258080415257998,0.0219152833288966,0.0729541440491974,0.0511944509367448,-0.0357212528552739,-0.12583589607482,-0.0791775615700025,0.087925642368873
"surfGulf.Summer",0.0424095936118935,0.00676963863523659,0.0503291476734819,0.146463698002853,-0.0834512673023282,-0.0764986926355756,-0.127389105436339,-0.0720640574947193
"surfGulf.Winter",-0.00195764335907058,0.126656435788025,0.062041482167071,0.072136996916273,0.0214802722043556,-0.0269479522704112,-0.04431842321994,-0.155100672217369
