"Winter","Spring","Summer","Fall"
-5.74241605386153e-18,-1.19629091863665e-17,-5.26410531095683e-18,-1.05286779504363e-17
2.48861784867233e-17,5.26401768685884e-18,-2.39225470730746e-18,-1.62719118292124e-17
1.91420683669673e-17,-1.4346985644528e-18,2.87074617491427e-18,2.00993032214626e-17
-8.6146755699682e-18,-4.78544407166016e-19,0,1.14846276514944e-17
1.33991265685178e-17,0,-2.87033178595085e-18,-1.81831394465774e-17
-1.43567703354704e-17,-5.74114276618759e-18,7.17349282226401e-19,2.48852438296781e-17
1.91522911783996e-18,-1.10065797808837e-17,-1.19646324602936e-18,-2.67984868012969e-17
-5.74218238960022e-18,5.74229922173088e-18,4.06821162156441e-18,-2.58398791692663e-17
-1.33994770649098e-17,-3.3506286750767e-18,-9.57147230397359e-19,4.78661239296671e-18
-1.91464495718669e-18,-9.09094175058643e-18,-5.50273493782123e-18,-7.65624318613363e-18
-5.74194872533891e-18,-8.13605814272053e-18,2.39841760219955e-19,4.78585298411745e-18
-2.29694305511848e-17,-5.74218238960022e-18,0,1.33982211195052e-17
-2.29688463905315e-17,1.00496443087231e-17,-5.26390085472818e-18,1.62712108364285e-17
2.29687879744662e-17,1.24427058879329e-17,2.39310174025471e-18,-2.29694305511848e-17
5.7420801614859e-18,-5.74229922173088e-18,-5.98157142531389e-18,6.70102368589209e-18
-1.62705098436445e-17,5.26309763382992e-18,2.87091594660413e-18,-7.65624318613363e-18
9.58198719573261e-19,8.61409140931492e-18,1.91406079653341e-18,1.914878621448e-18
1.91581327849324e-18,-1.29211079059397e-17,2.15356666437773e-18,-7.65624318613363e-18
1.81838404393613e-17,1.19627923542358e-17,0,5.74183189320825e-18
2.87021495382019e-18,-8.61466461695595e-18,-2.15368349650838e-18,2.48850101654168e-17
4.78662334597896e-18,1.29197643364372e-17,-5.98186168013848e-18,2.58394118407437e-17
2.29688463905315e-17,1.19631428506278e-17,2.63170215908645e-18,-2.77555756156289e-17
2.10560707474354e-17,-4.78684605722803e-18,-3.11077231084041e-18,2.29688463905315e-17
-1.91420099509019e-17,3.35139515774637e-18,-3.11075040481592e-18,5.74113090042432e-18
-1.8183869647394e-17,7.1774651147063e-18,3.11077231084041e-18,4.78672922509737e-18
1.81836359831327e-17,4.78602823231344e-19,2.63161453498846e-18,4.78661239296671e-18
2.20137437224207e-17,6.22150080963183e-18,1.19671151430701e-18,8.61420824144558e-18
2.67978442245783e-17,-9.57556142854655e-19,-1.91406444753749e-18,1.43565366712091e-17
-2.77555756156289e-17,-1.19627887032317e-17,-3.34969401803145e-18,2.48851269975474e-17
-1.91410752938567e-17,-9.58373967769245e-19,9.57147230397359e-19,-2.39274540225621e-17
1.81838477413695e-17,9.57313716183544e-18,2.15280725552846e-18,-2.20128090653754e-17
-1.91408416295954e-17,1.10074560218636e-17,-5.02483310737382e-18,1.24429943172555e-17
-2.20138605545513e-17,-2.87068228234282e-18,5.50331909847451e-18,2.48858718023803e-17
2.87132485906142e-18,-8.61450032177222e-18,6.22129452790114e-18,-2.77555756156289e-17
8.61377012095562e-18,1.914878621448e-18,-1.675518793767e-18,-1.33995062729424e-17
2.00993324294953e-17,1.38777878078145e-17,-3.82835525732813e-18,4.78684605722803e-18
2.67971432317943e-17,-6.22151541364816e-18,2.40265276693582e-19,3.82835525732813e-18
-7.65625779014996e-18,9.58081887442606e-19,-4.78836487492655e-19,3.82835525732813e-18
1.14841311149391e-17,-9.56329405482769e-19,-5.50314385027853e-18,-1.53126616204632e-17
-1.43572668720257e-17,7.17793244322893e-18,3.82812889507498e-18,-2.77555756156289e-17
3.83115922846386e-18,1.91546278210128e-18,4.78661239296672e-19,1.05261076435619e-17
-2.10547271779328e-17,-3.82812159306681e-18,-3.35089154737068e-18,5.74159822894694e-18
-2.29687879744662e-17,-1.43496143674678e-18,-9.57848223181294e-19,-9.57345845019474e-18
1.53125155802999e-17,3.35095726544417e-18,1.91394396440275e-18,2.8693971289056e-18
1.14841311149391e-17,-1.14843647792004e-17,2.87103277873478e-18,-1.14843647792004e-17
1.72292927238711e-17,7.17745051068997e-18,-2.8708045909796e-18,1.72287669792831e-17
-5.74007941124842e-18,-1.91441129292537e-18,0,-3.82835525732813e-18
-1.72277739061726e-17,-1.33989504075708e-17,4.30730857695144e-18,-9.57160374012058e-18
1.33995938970404e-17,-6.69852639909932e-18,-3.34986926622744e-18,-2.10553113385861e-17
9.57218790077386e-18,1.00496516107313e-17,3.82812159306681e-18,1.91407247974647e-17
5.7427665502535e-18,2.87050703414683e-18,1.91394396440275e-18,1.05268670524111e-17
-7.65624318613363e-18,-3.82812159306681e-18,-1.67499304917905e-18,7.65624318613363e-18
2.10565964920233e-17,-1.10067550290797e-17,-2.39622699974975e-19,1.53124863722673e-17
2.67973768960557e-17,6.69934422401391e-18,-4.78632031264008e-19,7.65671051465625e-18
-1.72278323222379e-17,1.05275972532277e-17,3.11077231084041e-18,5.74229922173088e-18
