"Event","lat","lon","depth","temp","date","year","month","day"
"2011-100",33.05528,-78.63015,25,26.79627514,2011-08-31,2011,8,31
"2011-1001",27.43489075,-80.06632996,26,22.42925532,2011-05-19,2011,5,19
"2011-1003",27.86569977,-80.15527344,29,16.47137016,2011-05-20,2011,5,20
"2011-1004",28.88272095,-80.27330017,40,17.18627897,2011-05-21,2011,5,21
"2011-1005",28.89510918,-80.17661285,54,17.9731332,2011-05-21,2011,5,21
"2011-1006",29.94718933,-80.30021667,58,17.60616965,2011-05-21,2011,5,21
"2011-1007",29.09547043,-80.57154083,25,21.16766668,2011-05-22,2011,5,22
"2011-1008",29.07115936,-80.53208923,22,20.94155946,2011-05-22,2011,5,22
"2011-1009",29.17333031,-80.58261871,27,20.98638109,2011-05-22,2011,5,22
"2011-101",32.95397,-78.74438,27,27.64343325,2011-08-31,2011,8,31
"2011-1010",29.1222496,-80.49700928,31,20.04724979,2011-05-23,2011,5,23
"2011-1011",29.16628075,-80.55944824,32,20.29860795,2011-05-23,2011,5,23
"2011-1014",29.29965019,-80.38529968,33,19.6336,2011-05-25,2011,5,25
"2011-1015",29.32489014,-80.40625,31,19.39410019,2011-05-25,2011,5,25
"2011-1016",29.32065964,-80.50965881,34,20.34201662,2011-05-25,2011,5,25
"2011-1017",29.53804016,-80.42710876,38,18.09817747,2011-05-26,2011,5,26
"2011-1018",29.54853058,-80.38616943,43,17.52836418,2011-05-26,2011,5,26
"2011-1019",29.55170059,-80.3886795,43,17.58340073,2011-05-26,2011,5,26
"2011-102",32.79773,-78.78593,29,27.45919991,2011-08-31,2011,8,31
"2011-1020",29.92848969,-80.29473877,54,16.62109947,2011-05-27,2011,5,27
"2011-1021",29.93932915,-80.30783844,55,16.73399152,2011-05-27,2011,5,27
"2011-1022",27.22574234,-80.05136871,24,16.3003006,2011-06-25,2011,6,25
"2011-1023",27.32710838,-80.07372284,24,15.80289974,2011-06-25,2011,6,25
"2011-1024",27.42892265,-80.06555939,24,16.85684967,2011-06-26,2011,6,26
"2011-1025",27.74760628,-80.12919617,28,17.73605018,2011-06-26,2011,6,26
"2011-1026",28.50337601,-80.10999298,54,15.39024997,2011-06-27,2011,6,27
"2011-1027",28.71915627,-80.14105988,53,15.49033174,2011-06-27,2011,6,27
"2011-1028",28.70973015,-80.14048004,55,15.83677266,2011-06-27,2011,6,27
"2011-1029",28.96609879,-80.183815,52,15.47844982,2011-06-28,2011,6,28
"2011-103",32.48908,-78.88585,46,20.76486651,2011-09-01,2011,9,1
"2011-1030",28.9480629,-80.18123627,52,15.00458635,2011-06-28,2011,6,28
"2011-1031",29.0189209,-80.1944809,53,14.80503305,2011-06-28,2011,6,28
"2011-1032",29.00890923,-80.19252014,54,14.99038,2011-06-28,2011,6,28
"2011-1033",28.84717369,-80.25292206,42,15.59829998,2011-06-29,2011,6,29
"2011-1034",29.72842979,-80.46947479,36,17.97153282,2011-06-30,2011,6,30
"2011-1035",29.72612,-80.46165466,34,17.68280029,2011-06-30,2011,6,30
"2011-1036",29.93279839,-80.51876831,37,22.08345032,2011-07-19,2011,7,19
"2011-1037",29.84726906,-80.52845764,37,21.82869312,2011-07-19,2011,7,19
"2011-1038",29.75211334,-80.45355225,34,21.62966665,2011-07-19,2011,7,19
"2011-104",33.28297,-78.43025,24,26.48270035,2011-09-20,2011,9,20
"2011-1041",28.15519142,-80.22506714,27,24.38792551,2011-07-21,2011,7,21
"2011-1043",28.83428192,-80.44065857,21,21.81198343,2011-07-21,2011,7,21
"2011-1044",29.14569855,-80.3111496,44,20.77679952,2011-07-22,2011,7,22
"2011-1046",29.66516495,-80.27588654,62,14.79608927,2011-07-23,2011,7,23
"2011-1047",29.86818123,-80.28561401,51,17.17506297,2011-07-23,2011,7,23
"2011-1048",29.94605255,-80.28412628,57,16.1373298,2011-07-23,2011,7,23
"2011-1049",29.99240303,-80.28504944,57,16.094348,2011-07-24,2011,7,24
"2011-105",33.27985,-78.41513,24,26.39459991,2011-09-20,2011,9,20
"2011-1050",30.02598953,-80.27934265,54,18.64959908,2011-07-24,2011,7,24
"2011-1051",30.06163025,-80.27787018,54,19.35563405,2011-07-24,2011,7,24
"2011-1052",29.73552895,-80.44826508,34,22.27739906,2011-07-25,2011,7,25
"2011-1055",30.51250076,-80.48179626,38,22.28933271,2011-07-26,2011,7,26
"2011-1056",30.89122963,-80.61676788,34,23.95149304,2011-07-27,2011,7,27
"2011-1058",31.42007446,-80.37545013,35,21.27759933,2011-07-27,2011,7,27
"2011-106",32.84125,-78.26617,46,27.35639954,2011-09-21,2011,9,21
"2011-1060",31.25950623,-80.42476654,38,24.52640057,2011-07-27,2011,7,27
"2011-1061",31.48954201,-79.72362518,72,20.39983368,2011-07-28,2011,7,28
"2011-1063",31.47663498,-79.75969696,66,20.79174995,2011-07-28,2011,7,28
"2011-1064",31.12731552,-79.92054749,49,20.32939911,2011-08-17,2011,8,17
"2011-1065",31.15602493,-79.91043854,49,20.58905029,2011-08-17,2011,8,17
"2011-1066",31.0709877,-80.02719116,50,21.82248606,2011-08-17,2011,8,17
"2011-1067",30.39935303,-80.21601105,55,18.86250019,2011-08-18,2011,8,18
"2011-1069",30.47550583,-80.19630432,53,20.18071938,2011-08-18,2011,8,18
"2011-1070",30.64656448,-80.20904541,43,21.81439972,2011-08-19,2011,8,19
"2011-1071",30.58992767,-80.15345764,58,19.44903578,2011-08-19,2011,8,19
"2011-1072",30.75875282,-80.21638489,43,22.71158282,2011-08-19,2011,8,19
