"Winter","Spring","Summer","Fall"
-2.1055880895223e-17,2.10564212438273e-17,0,1.81838404393613e-17
9.57217329675753e-18,-2.10551945064554e-17,9.5725237931495e-18,1.43562445908825e-17
1.33990097363871e-17,-3.82812159306681e-18,2.39269866940395e-17,-1.53125447883326e-17
5.74161283296327e-18,-1.91435287686005e-17,1.72290006435444e-17,9.58198719573261e-19
-1.14834520281797e-17,-7.65624318613363e-18,3.82812159306681e-18,-6.70097987384309e-18
9.5796505531195e-19,-1.72284748989565e-17,6.69973853245488e-18,-2.87062386627749e-18
2.48851269975474e-17,-3.82836986134446e-18,-1.62712108364285e-17,-2.39265193655169e-17
-1.53125447883326e-17,-3.82953088064285e-18,-5.74113090042432e-18,4.78626189657475e-18
-1.33991265685178e-17,-9.57208567265954e-18,-2.87074069840814e-18,1.14834301221552e-17
7.65624318613363e-18,-2.10557786671087e-17,-1.62709771721672e-17,-2.58397623371357e-17
-1.91435287686005e-17,1.14862340932909e-17,1.72286501471525e-17,-2.29693721351195e-17
5.74126233657131e-18,-7.65633081023162e-18,-9.57182280036556e-18,6.70195834293734e-18
2.29678423644087e-17,7.65627239416629e-18,9.57789807115966e-19,-2.67942808445933e-17
-5.74266432213918e-18,-1.91411921259874e-17,1.24427679550024e-17,-1.53126032043979e-17
7.65624318613363e-18,-1.9141308958118e-17,-1.91415426223793e-17,-2.2013276393898e-17
5.74254749000852e-18,-1.53131581570185e-17,-2.10546103458022e-17,1.43570332077644e-17
-5.74206555746957e-18,2.67973748423659e-17,-9.57264062528015e-19,1.62709771721672e-17
1.14829920016652e-17,2.6797435312121e-17,2.67975521442516e-17,-2.00988651009727e-17
3.83045823567993e-18,7.65631620621529e-18,2.48846596690248e-17,-1.72289422274791e-17
-7.65625779014996e-18,7.65628699818262e-18,2.29694889672501e-17,1.1485533100507e-17
1.33987760721258e-17,7.65630160219896e-18,3.8278879288055e-18,-2.58406969941809e-17
9.57322478593343e-18,-1.14843939872331e-17,-1.72277154901072e-17,1.81841033116553e-17
0,-3.82812889507498e-18,1.91417762866406e-17,-9.57322478593343e-18
