"Winter","Spring","Summer","Fall"
-4.9001171445414e-16,7.35052621320407e-16,-1.22507648631614e-15,-1.22499890978138e-16
1.22505452187557e-15,9.80055207247819e-16,8.57553446955591e-16,-1.22507087837386e-15
-8.57525407244233e-16,-8.57523537930143e-16,1.10255790219709e-15,-1.22508489822954e-15
4.90008910483005e-16,-9.80045860677367e-16,0,6.12518148031595e-16
7.35020842980869e-16,1.22507742097318e-15,-1.10255135959778e-15,1.22506807440273e-15
-6.12517563870942e-16,7.35044209407e-16,1.592606068276e-15,-9.80053337933729e-16
-4.90029472938e-16,3.67512758133048e-16,3.67504185575461e-16,-1.22500358306661e-16
4.9002760362391e-16,8.57547839013319e-16,1.22499890978138e-16,-1.10255416356891e-15
-7.35021777637914e-16,2.4500585722707e-16,1.10255790219709e-15,1.34759600509222e-15
-2.44999781956276e-16,9.8004469235606e-16,-1.47009776538445e-15,7.3504201880455e-16
0,2.45000249284799e-16,1.10255509822596e-15,9.80047729991457e-16
4.90019191710502e-16,-7.35027385580186e-16,2.45014736469e-16,9.80042122049186e-16
9.80040252735095e-16,1.10258126862322e-15,-1.71510663286439e-15,-1.34758478920768e-15
-7.35019908323824e-16,-4.90016387739367e-16,1.47009151303996e-15,1.71510689391118e-15
3.67500607591459e-16,-1.47010243866968e-15,-7.35038601464729e-16,1.34760628631972e-15
1.22504751194773e-15,3.67499672934414e-16,-1.10255927497463e-15,-1.47010337332672e-15
0,-1.34759320112109e-15,2.45008705010255e-16,3.67509954161912e-16
3.67524908674636e-16,-1.22505311989e-15,-6.12525625287957e-16,-1.34760441700563e-15
-2.44999781956276e-16,-1.10256537945346e-15,-1.2250706447096e-15,2.45000249284799e-16
0,1.34758478920768e-15,4.90033313794295e-16,-3.67503411562595e-16
1.71503959860392e-15,4.9000984514005e-16,-9.80024071484999e-16,9.80032775478733e-16
3.67514627447138e-16,1.47006037910264e-15,-1.22500124642399e-16,2.45001651270367e-16
1.59261821881759e-15,-1.34760348234859e-15,9.80029036850552e-16,1.71510677707905e-15
-6.12607407779416e-16,-1.59259485239146e-15,6.1253497185841e-16,-8.5751419135969e-16
-2.45000249284799e-16,-3.67501542248505e-16,6.12538710486591e-16,-1.4700781375865e-15
4.90003302540733e-16,-4.90008910483005e-16,-1.22500358306661e-16,-4.90012649111186e-16
6.12518148031595e-16,1.22508302891545e-15,-7.35045728224699e-16,-1.22499890978138e-16
-1.71507698488573e-15,-1.59258830979214e-15,1.22499890978138e-16,-1.47010664462638e-15
8.57517929987871e-16,7.35021777637914e-16,8.57523421098012e-16,1.47009963469854e-15
9.80032775478733e-16,-1.22499890978138e-16,-1.22500124642399e-16,-3.67499672934414e-16
3.67509720497651e-16,-8.57525407244233e-16,-1.34759600509222e-15,9.80044225027538e-16
1.59261354553236e-15,6.12531233230229e-16,1.22499890978138e-16,0
-1.4700697256731e-15,-1.47008281087173e-15,1.71510689391118e-15,-1.10254528432698e-15
-6.12527027273525e-16,7.35051686663362e-16,6.12525625287957e-16,-6.12537308501023e-16
2.44999781956276e-16,-1.34758198523655e-15,-4.90024799652774e-16,-4.90006106511869e-16
-3.67507150190776e-16,1.22500124642399e-16,-3.67507150190776e-16,9.80049599305548e-16
-1.47003607801947e-15,1.22506900905977e-15,2.45001651270367e-16,1.22501760292229e-16
-1.47009963469854e-15,-2.45015671126045e-16,-1.22499890978138e-16,-2.45006324555593e-16
9.80055440912081e-16,-4.90025734309819e-16,-1.47010056935559e-15,0
-1.47009963469854e-15,-1.47010243866968e-15,1.59259540004207e-15,4.90023864995729e-16
6.1257422745431e-16,6.1253497185841e-16,-4.90021995681638e-16,-1.59261821881759e-15
2.44999781956276e-16,-1.10254388234141e-15,1.34758946249291e-15,7.35014300381552e-16
1.34759600509222e-15,-1.47010711195491e-15,7.35049496060912e-16,1.71507698488573e-15
1.47007953957207e-15,9.80034644792824e-16,-6.12527494602048e-16,7.35023179623482e-16
1.47005850978855e-15,4.90022930338683e-16,1.71510689391118e-15,7.35032993522457e-16
-1.59259765636259e-15,1.59260653560452e-15,4.90016387739367e-16,-1.59259952567668e-15
-1.59260326430486e-15,1.22500124642399e-16,-1.47009028812809e-15,7.35019908323824e-16
1.22506620508864e-15,1.47010337332672e-15,-1.22499890978138e-16,1.22506807440273e-15
-1.22499890978138e-16,-1.47009215744218e-15,-8.575515776415e-16,1.59260700293304e-15
-1.10256444479641e-15,-1.34759974372041e-15,1.47009244952251e-15,-2.45007259212638e-16
1.34761469823313e-15,-6.12531700558751e-16,1.34759039714995e-15,9.80051468619638e-16
2.45000249284799e-16,-1.59260700293304e-15,-1.22507648631614e-15,4.9002760362391e-16
-6.12527494602048e-16,-1.22507835563023e-15,6.12535906515455e-16,7.3504771437092e-16
1.22507929028727e-15,7.35053555977453e-16,1.10255927497463e-15,-1.10254388234141e-15
6.12524106470259e-16,-4.90022930338683e-16,1.71510689391118e-15,-6.1253497185841e-16
-8.57517929987871e-16,-1.22499890978138e-16,-2.45010530512296e-16,4.90025734309819e-16
1.47009589607036e-15,1.47009589607036e-15,-1.47009338417955e-15,1.47009589607036e-15
-1.10255135959778e-15,1.22508209425841e-15,-1.22499890978138e-16,-3.67500432343263e-16
-4.90016387739367e-16,1.34759880906336e-15,1.22499890978138e-16,-7.35034395508025e-16
-1.59258830979214e-15,1.22499890978138e-16,9.80049832969809e-16,1.59261448018941e-15
9.80047729991457e-16,-1.34757544263723e-15,-9.80053337933729e-16,-1.59262102278872e-15
-1.34758852783586e-15,1.47009028812809e-15,1.59260700293304e-15,-1.71510689391118e-15
1.22499890978138e-16,-7.35051686663362e-16,2.45010997840819e-16,-1.10255977151118e-15
1.47010337332672e-15,-1.34760722097677e-15,-1.22499890978138e-16,3.67505280876686e-16
8.57527276558324e-16,1.71510666024692e-15,-3.67519300732364e-16,-1.34759787440631e-15
1.22499890978138e-16,-4.90032276909136e-16,-1.34758665852177e-15,8.575515776415e-16
-3.67503411562595e-16,-1.22499890978138e-16,1.59260279697634e-15,-8.57540361756957e-16
8.57525290412103e-16,-1.22499890978138e-16,-1.34758385455064e-15,-1.34759974372041e-15
1.71510689391118e-15,8.57538492442867e-16,-1.71510689391118e-15,-7.35036732150638e-16
-1.47007907224355e-15,1.22507181303091e-15,3.67511589811741e-16,8.57536623128776e-16
-1.2254475451631e-16,-1.34760348234859e-15,2.45007726541161e-16,1.22499890978138e-16
-1.47003537702668e-15,-7.35055425291543e-16,2.45014736469e-16,-1.59260326430486e-15
-7.35010561753371e-16,-3.67507150190776e-16,1.22508933785051e-15,-1.47008468018582e-15
1.22499890978138e-16,1.22499890978138e-16,8.57536623128776e-16,-4.90032276909136e-16
7.35038601464729e-16,1.10255696754005e-15,1.22499890978138e-16,1.715103155283e-15
-6.1251721337455e-16,-1.47006598704491e-15,-1.10255556555448e-15,-8.57529087456349e-16
-1.47009963469854e-15,1.59261074156122e-15,-1.71510689391118e-15,-8.57530898354374e-16
9.80070161760543e-16,-7.35049817349272e-16,-8.57553446955591e-16,-1.10255322891187e-15
-1.22514845490862e-16,-1.22506994371682e-15,6.12529363916138e-16,0
2.44999781956276e-16,1.10255509822596e-15,-1.10255509822596e-15,8.57532884500595e-16
4.90014518425276e-16,1.59260700293304e-15,-1.22500591970922e-16,-3.67512758133048e-16
8.57521668616052e-16,-3.67509954161912e-16,1.10255509822596e-15,-8.57527159726193e-16
2.45003520584457e-16,-4.9002760362391e-16,-1.71510689391118e-15,1.22499890978138e-16
1.71507324625755e-15,1.34759413577813e-15,9.8002155959419e-16,8.57527276558324e-16
4.90003302540733e-16,1.22499890978138e-16,1.34759693974927e-15,4.90012649111186e-16
4.90023864995729e-16,1.71510689391118e-15,1.71510689391118e-15,-1.59259952567668e-15
1.22507555165909e-15,-6.12542449114772e-16,8.575515776415e-16,-1.22506807440273e-15
-3.67503411562595e-16,7.35040470778819e-16,-1.22506433577455e-15,2.45001183941844e-16
1.22505031591887e-15,1.47007252964423e-15,-1.22507555165909e-15,0
0,-9.8005707656191e-16,0,-8.57529145872414e-16
1.71509567802664e-15,0,-6.12529831244661e-16,-3.67501308584243e-16
-1.59260326430486e-15,-1.47008678316417e-15,-1.22508583288659e-15,-1.47006271574526e-15
2.45000716613321e-16,-1.10256115889274e-15,-3.67509954161912e-16,-1.47009963469854e-15
-4.90022930338683e-16,-1.59260659402059e-15,-1.71510689391118e-15,-9.80043991363276e-16
-1.347591331807e-15,8.57531015186505e-16,-1.34761095960495e-15,9.80060815190091e-16
-2.45004922570025e-16,-4.9002760362391e-16,8.57542231071048e-16,-1.22506129813915e-15
9.80058945876e-16,-1.47009496141332e-15,0,-1.22500358306661e-16
-1.59261401286088e-15,3.67509954161912e-16,-1.71509567802664e-15,-1.59259859101964e-15
-2.45000716613321e-16,1.71510689391118e-15,4.90030407595045e-16,-1.22499890978138e-16
-8.57523537930143e-16,4.90029472938e-16,-1.34759880906336e-15,1.10256164082527e-15
1.47009963469854e-15,-9.80034644792824e-16,6.12542799611164e-16,6.12532051055143e-16
1.71509193939846e-15,2.45006791884115e-16,-1.22500358306661e-16,-1.225073682345e-15
0,-1.22507461700205e-15,1.22499890978138e-16,-1.47009963469854e-15
-2.44999781956276e-16,1.470088418814e-15,-1.22507835563023e-15,2.45007259212638e-16
-2.44999781956276e-16,8.57545969699229e-16,-1.22500124642399e-16,-1.47010033569133e-15
-4.90014518425276e-16,-7.3504234009291e-16,2.45004455241502e-16,1.71510689391118e-15
2.45001651270367e-16,-2.45002585927412e-16,-4.90036015537317e-16,-7.35032993522457e-16
-2.45000249284799e-16,-4.90014518425276e-16,-8.57510452731509e-16,7.35024347944789e-16
-1.3476016130345e-15,6.1252609261648e-16,4.90029472938e-16,1.34759045556602e-15
7.35029254894276e-16,2.45011932497864e-16,-9.80049599305548e-16,-1.22500358306661e-16
-7.35021777637914e-16,1.22499890978138e-16,4.9002760362391e-16,2.4500398791298e-16
-1.22508022494432e-15,-4.90032276909136e-16,-9.80053337933729e-16,-8.57540303340892e-16
-1.22506246646046e-15,1.10255556555448e-15,1.71510689391118e-15,4.90022112513769e-16
-1.34759413577813e-15,-1.71510689391118e-15,1.34759974372041e-15,-1.34759320112109e-15
-3.67499672934414e-16,1.71509941665482e-15,-1.34759413577813e-15,-1.34759600509222e-15
1.22529800003586e-16,1.47009589607036e-15,-3.67510888818957e-16,-8.57529145872414e-16
-7.35001215182919e-16,4.90025734309819e-16,6.12530298573183e-16,-2.45001651270367e-16
-4.90010779797095e-16,-1.59260700293304e-15,-1.22499890978138e-16,2.45002585927412e-16
-1.4700697256731e-15,-1.47009098912087e-15,-1.22507461700205e-15,2.4500398791298e-16
-1.10255509822596e-15,1.22500825635183e-16,-7.35049817349272e-16,6.12529363916138e-16
-4.90019308542633e-16,9.80055207247819e-16,-6.12535439186932e-16,-1.71509929982269e-15
-1.34756983469496e-15,2.45010063183774e-16,-6.12524223302389e-16,-8.57531015186505e-16
2.45002585927412e-16,1.71510666024692e-15,-9.80042355713447e-16,1.22499890978138e-16
1.22500613876946e-16,1.34757263866609e-15,1.71510689391118e-15,-1.22507929028727e-15
-1.47002486213492e-15,1.22499890978138e-16,-9.80053337933729e-16,-6.12535906515455e-16
1.34759226646404e-15,-7.35036732150638e-16,7.35025516266095e-16,-1.59260419896191e-15
0,-1.22507929028727e-15,3.67507150190776e-16,-3.67501074919982e-16
2.44999781956276e-16,-9.80059150332229e-16,-4.90026668966864e-16,-1.59260980690418e-15
3.67500432343263e-16,3.67511823476002e-16,7.35049817349272e-16,1.22499890978138e-16
-1.22505031591887e-15,-1.10254900835115e-15,1.22507718730892e-15,1.10255883685414e-15
-7.35035797493593e-16,-6.12520017345686e-16,0,1.22499890978138e-16
-2.45003520584457e-16,-1.59259952567668e-15,-1.10255883685414e-15,3.67509720497651e-16
-1.592606068276e-15,-8.5754970832741e-16,-9.80051468619638e-16,8.57540244924827e-16
-8.57575878724677e-16,-1.47007346430128e-15,0,1.47007837125076e-15
1.10263921736003e-15,-6.12515344060459e-16,-2.45008193869683e-16,1.34757824660836e-15
1.71507324625755e-15,4.90018257053457e-16,9.80051468619638e-16,-1.10256724876755e-15
-1.10256257548232e-15,1.1025457516555e-15,-7.3504958368501e-16,-1.22500358306661e-16
1.22500358306661e-16,8.57529145872414e-16,-1.71510689391118e-15,-6.12518148031595e-16
4.90008910483005e-16,-1.10254434966994e-15,-1.59260513361895e-15,1.22507742097318e-15
-3.67516496761229e-16,-9.80047729991457e-16,0,1.47007767025798e-15
-8.5754970832741e-16,3.67494064992143e-16,-1.59260513361895e-15,-2.44999781956276e-16
1.22544988180571e-16,-1.71503959860392e-15,6.12527494602048e-16,9.80042122049186e-16
1.347591331807e-15,-9.80025298222371e-16,-9.80055207247819e-16,8.57517929987871e-16
9.80053337933729e-16,-1.22500358306661e-16,-1.71510689391118e-15,0
2.45002585927412e-16,1.71510689391118e-15,-1.34759600509222e-15,4.90020126367548e-16
3.67503995723248e-16,1.59260700293304e-15,-2.45009595855251e-16,1.10256117349675e-15
-2.45015247609572e-16,-7.35019908323824e-16,-7.3504234009291e-16,6.12512072760801e-16
-1.59265186647122e-15,-9.80029036850552e-16,1.22499890978138e-16,-1.71506576900119e-15
-3.67500607591459e-16,-1.470088418814e-15,4.90034146223226e-16,1.34757544263723e-15
9.80062684504181e-16,-1.34759413577813e-15,-3.67509720497651e-16,3.67500607591459e-16
-1.22500124642399e-16,-1.10255696754005e-15,-1.10255509822596e-15,1.71506950762937e-15
1.22506830806699e-15,2.45000716613321e-16,3.67509019504867e-16,1.22507274768796e-15
-8.57525407244233e-16,1.22504751194773e-15,1.71510689391118e-15,9.80030906164643e-16
2.44999781956276e-16,1.22506620508864e-15,-2.45008661198206e-16,2.45001183941844e-16
8.57566532154224e-16,-7.35003084497009e-16,-1.47009215744218e-15,-4.90012649111186e-16
6.12563011569767e-16,-9.80034644792824e-16,2.4501286715491e-16,6.12514409403414e-16
2.44999781956276e-16,0,-1.22500358306661e-16,-4.9001171445414e-16
1.2250138642941e-15,-1.59260700293304e-15,0,1.47008468018582e-15
-1.10255135959778e-15,1.22500358306661e-16,-1.71511437116754e-15,-4.90026668966864e-16
1.22552231772672e-16,7.35019908323824e-16,-6.12512540089324e-16,-1.10256257548232e-15
-8.57538492442867e-16,9.80055207247819e-16,4.90012649111186e-16,-1.22508115960136e-15
