"Pair","Spearman_Correlation"
"Gag_Bottom.Temp.Fall",0.0591452991452991
"Gag_Bottom.Temp.Spring",-0.124102564102564
"Gag_Bottom.Temp.Summer",0.0229059829059829
"Gag_Bottom.Temp.Winter",-0.0577777777777778
"Gag_Mixed.Layer.Fall",0.0905982905982906
"Gag_Mixed.Layer.Spring",0.156239316239316
"Gag_Mixed.Layer.Summer",0.137094017094017
"Gag_Mixed.Layer.Winter",0.254017094017094
"Gag_Salinity.Fall",0.055042735042735
"Gag_Salinity.Spring",0.197948717948718
"Gag_Salinity.Summer",-0.232820512820513
"Gag_Salinity.Winter",0.175384615384615
"Gag_SSH.Fall",-0.262222222222222
"Gag_SSH.Spring",-0.42974358974359
"Gag_SSH.Summer",-0.292307692307692
"Gag_SSH.Winter",-0.346324786324786
"Gag_SST.Fall",0.0311111111111111
"Gag_SST.Spring",-0.106324786324786
"Gag_SST.Summer",-0.0851282051282051
"Gag_SST.Winter",-0.0304273504273504
"Gag_ChlGlob50.Fall",-0.338961038961039
"Gag_ChlGlob50.Spring",-0.0974025974025974
"Gag_ChlGlob50.Summer",-0.363636363636364
"Gag_ChlGlob50.Winter",-0.150649350649351
"Gag_ChlModis15.Fall",0.173529411764706
"Gag_ChlModis15.Spring",-0.0323529411764706
"Gag_ChlModis15.Summer",0.170588235294118
"Gag_ChlModis15.Winter",0.332352941176471
"Gag_ChlModis50.Fall",0.0970588235294118
"Gag_ChlModis50.Spring",0.276470588235294
"Gag_ChlModis50.Summer",-0.2
"Gag_ChlModis50.Winter",0.426470588235294
"Gag_deepGulf.Fall",0.123418803418803
"Gag_deepGulf.Spring",0.279316239316239
"Gag_deepGulf.Summer",0.262905982905983
"Gag_deepGulf.Winter",0.117264957264957
"Gag_surfGulf.Fall",-0.102905982905983
"Gag_surfGulf.Spring",-0.273162393162393
"Gag_surfGulf.Summer",0.0181196581196581
"Gag_surfGulf.Winter",-0.00786324786324786
"GAm_Bottom.Temp.Fall",-0.313913043478261
"GAm_Bottom.Temp.Spring",0.0182608695652174
"GAm_Bottom.Temp.Summer",0.0695652173913043
